Age_Range,Industry,Job_Title,Annual_Salary,Additional_Monetary_Compensation,Currency,Other_Currency,Country,State/Province,City,"Total _Years_of _Professional_Experience",Total_Years_of_Professional_Field_Experience,Highest_Education,Gender
25-34,"GOVERNMENT AND PUBLIC ADMINISTRATION","Office Assistant",30000,2000,USD,NA,"United States",Alaska,Anchorage,"5-7 years","5-7 years","Master'S Degree",Woman
45-54,LAW,"Pro Bono Director",65000,0,USD,NA,"United States",Alaska,Anchorage,"11 - 20 years","11 - 20 years","College Degree",Woman
25-34,NONPROFITS,"Program Supervisor",65000,2000,USD,NA,"United States",Alaska,Anchorage,"8 - 10 years","8 - 10 years","Master'S Degree",Woman
25-34,"ENVIRONMENTAL CONSULTING","Proposal/Project Coordinator",68000,2000,USD,NA,"United States",Alaska,Anchorage,"11 - 20 years","8 - 10 years","College Degree",Woman
35-44,SALES,"Sales Manager, Key Account Executive",90000,25000,USD,NA,"United States",Alaska,Anchorage,"11 - 20 years","8 - 10 years","College Degree",Woman
25-34,"HEALTH CARE","School Mental Health Therapist",73000,0,USD,NA,"United States",Alaska,Anchorage,"8 - 10 years","8 - 10 years","Master'S Degree",Woman
25-34,LAW,"Staff Attorney",85000,2000,USD,NA,"United States",Alaska,Anchorage,"2 - 4 years","2 - 4 years","Professional Degree (MD, Jd, Etc.)",Woman
45-54,"UTILITIES & TELECOMMUNICATIONS","Collections Administrator",44000,2000,USD,NA,"United States",Alaska,Anchorage,"21 - 30 years","11 - 20 years","College Degree",Woman
35-44,"GOVERNMENT  & PUBLIC ADMINISTRATION","Environmental Impact Analyst III",63000,0,USD,NA,"United States",Alaska,Anchorage,"11 - 20 years","5-7 years","Master'S Degree",Woman
25-34,"SOCIAL WORK","Family Services Worker",51000,1000,USD,NA,"United States",Alaska,Anchorage,"2 - 4 years","2 - 4 years","Master'S Degree",Woman
25-34,NONPROFITS,"General Maintenance",27040,200,USD,NA,"United States",Alaska,Anchorage,"2 - 4 years","1 year or less","Master'S Degree",Woman
35-44,"EDUCATION (HIGHER EDUCATION)","Instructional Designer",64000,2000,USD,NA,"United States",Alaska,Anchorage,"11 - 20 years","2 - 4 years",PH.D.,Woman
25-34,"HEALTH CARE","Ophthalmic Assistant",54080,5000,USD,NA,"United States",Alaska,Anchorage,"5-7 years","2 - 4 years","College Degree",Woman
25-34,"HEALTH CARE","Registered Nurse",88000,10000,USD,NA,"United States",Alaska,Anchorage,"8 - 10 years","8 - 10 years","College Degree",Woman
55-64,"GOVERNMENT CONTRACTING","Compliance MGR & Facility Security Officer",130800,7500,USD,NA,"United States",Alaska,Anchoragr,"21 - 30 years","21 - 30 years","Some College",Woman
35-44,"EDUCATION (HIGHER EDUCATION)",Archivist,40000,2000,USD,NA,"United States",Indiana,Anderson,"8 - 10 years","5-7 years","Master'S Degree",Man
25-34,"EDUCATION (HIGHER EDUCATION)","Assistant Professor",62000,500,USD,NA,"United States",Indiana,Anderson,"8 - 10 years","5-7 years",PH.D.,Woman
55-64,"COMPUTING OR TECH",Founder,40000,0,USD,NA,"United States","South Carolina",Anderson,"31 - 40 years","11 - 20 years","Some College",Woman
35-44,"TRANSPORT OR LOGISTICS","Project Manager",60000,2400,USD,NA,"United States",Indiana,Anderson,"8 - 10 years","8 - 10 years","High School",Woman
25-34,"ENGINEERING OR MANUFACTURING","Development Engineer",92000,0,USD,NA,"United States",Massachusetts,Andover,"2 - 4 years","2 - 4 years","College Degree",Woman
45-54,"COMPUTING OR TECH","Front-End Developer",135000,2000,USD,NA,"United States",Massachusetts,Andover,"21 - 30 years","21 - 30 years","Some College",Man
35-44,"EDUCATION (PRIMARY/SECONDARY)","Librarian/Digital Learning Coach",101000,2000,USD,NA,"United States",Massachusetts,Andover,"11 - 20 years","11 - 20 years","Master'S Degree",Woman
25-34,"ENGINEERING OR MANUFACTURING","Mechanical Engineer III",114400,2500,USD,NA,"United States",Massachusetts,Andover,"5-7 years","5-7 years","College Degree",Woman
25-34,"ENGINEERING OR MANUFACTURING",Scientist,99000,15000,USD,NA,"United States",Massachusetts,Andover,"5-7 years","8 - 10 years","Master'S Degree",Woman
25-34,PHARMACEUTICAL,"Senior Scientist",116358,26614,USD,NA,"United States",Massachusetts,Andover,"2 - 4 years","2 - 4 years",PH.D.,Woman
35-44,"COMPUTING OR TECH","Senior User Experience (UX)  Designer",143000,0,USD,NA,"United States",Massachusetts,Andover,"11 - 20 years","11 - 20 years","Master'S Degree",Man
25-34,"ACCOUNTING, BANKING & FINANCE","Staff Accountant",64200,9630,USD,NA,"United States",Massachusetts,Andover,"5-7 years","5-7 years","College Degree",Woman
45-54,"HEALTH CARE","Welding Manager",69000,8000,USD,NA,"United States",Massachusetts,Andover,"21 - 30 years","11 - 20 years","College Degree",Man
35-44,"EDUCATION (HIGHER EDUCATION)","Assistant Professor",81600,0,USD,NA,"United States",Massachusetts,Andover,"5-7 years","5-7 years",PH.D.,Woman
35-44,"ENGINEERING OR MANUFACTURING","Document Control Coordinator",58000,5000,USD,NA,"United States",Iowa,Ankeny,"11 - 20 years","11 - 20 years","College Degree",Woman
25-34,"COMPUTING OR TECH","Support Analyst",47840,0,USD,NA,"United States",Iowa,Ankeny,"11 - 20 years","2 - 4 years","College Degree",Woman
25-34,"COMPUTING OR TECH","Support Analyst",47840,0,USD,NA,"United States",Iowa,Ankeny,"11 - 20 years","2 - 4 years","College Degree",Woman
35-44,"EDUCATION (HIGHER EDUCATION)","Academic Librarian",78000,0,USD,NA,"United States",Michigan,"Ann Arbor","11 - 20 years","11 - 20 years","Master'S Degree",Woman
35-44,SALES,"Account Executive",130000,100000,USD,NA,"United States",Michigan,"Ann Arbor","11 - 20 years","11 - 20 years","Master'S Degree",Woman
25-34,SALES,"Account Manager",80000,40000,USD,NA,"United States",Michigan,"Ann Arbor","2 - 4 years","1 year or less","College Degree",Woman
55-64,"EDUCATION (HIGHER EDUCATION)","Administrative Assistant",55000,2000,USD,NA,"United States",Michigan,"Ann Arbor","31 - 40 years","31 - 40 years","College Degree",Woman
25-34,"ART & DESIGN","Art Coordinator",31200,2000,USD,NA,"United States",Michigan,"Ann Arbor","2 - 4 years","2 - 4 years","College Degree",Woman
35-44,"EDUCATION (HIGHER EDUCATION)","Assistant Dean For Undergraduate Admissions And Student Services",135000,2000,USD,NA,"United States",Michigan,"Ann Arbor","11 - 20 years","11 - 20 years","Master'S Degree",Woman
25-34,"EDUCATION (HIGHER EDUCATION)","Assistant Director",68000,1000,USD,NA,"United States",Michigan,"Ann Arbor","8 - 10 years","8 - 10 years","Master'S Degree",Woman
35-44,NONPROFITS,"Assistant Director Of Marketing, International Giving And Engagement",5100,0,USD,NA,"United States",Michigan,"Ann Arbor","11 - 20 years","11 - 20 years","Master'S Degree",Woman
25-34,"ENGINEERING OR MANUFACTURING","Associate Scientist",47000,0,USD,NA,"United States",Michigan,"Ann Arbor","8 - 10 years","2 - 4 years","College Degree",Woman
25-34,"EDUCATION (HIGHER EDUCATION)","Career Services Coordinator",49000,2000,USD,NA,"United States",Michigan,"Ann Arbor","5-7 years","5-7 years","Master'S Degree",Woman
35-44,"HEALTH CARE","Clerical Supervisor",52000,0,USD,NA,"United States",Michigan,"Ann Arbor","11 - 20 years","8 - 10 years","Some College",Woman
35-44,"HEALTH CARE","Clinical Psychologist",90000,0,USD,NA,"United States",Michigan,"Ann Arbor","8 - 10 years","8 - 10 years",PH.D.,Woman
25-34,"HEALTH CARE","Clinical Research Project Manager",66400,2000,USD,NA,"United States",Michigan,"Ann Arbor","8 - 10 years","5-7 years","Master'S Degree",Woman
55-64,"EDUCATION (HIGHER EDUCATION)","Communication Specialist",82600,0,USD,NA,"United States",Michigan,"Ann Arbor","31 - 40 years","11 - 20 years","College Degree",Woman
35-44,"EDUCATION (HIGHER EDUCATION)","Communications Specialist",60000,0,USD,NA,"United States",Michigan,"Ann Arbor","11 - 20 years","1 year or less","Master'S Degree",Woman
45-54,"EDUCATION (HIGHER EDUCATION)","Department Administrator",153000,7500,USD,NA,"United States",Michigan,"Ann Arbor","21 - 30 years","11 - 20 years","Master'S Degree",Woman
25-34,"EDUCATION (HIGHER EDUCATION)","Digital Content Strategist",60900,2000,USD,NA,"United States",Michigan,"Ann Arbor","5-7 years","2 - 4 years","Master'S Degree",Woman
25-34,"BUSINESS OR CONSULTING",Director,90000,2700,USD,NA,"United States",Michigan,"Ann Arbor","11 - 20 years","8 - 10 years","Master'S Degree",Woman
35-44,"EDUCATION (HIGHER EDUCATION)","Director Of Operations",78000,2000,USD,NA,"United States",Michigan,"Ann Arbor","11 - 20 years","11 - 20 years","Master'S Degree",Man
45-54,NONPROFITS,"Director Of Patron Services",63000,0,USD,NA,"United States",Michigan,"Ann Arbor","21 - 30 years","21 - 30 years","College Degree",Woman
45-54,"COMPUTING OR TECH","Director Of Technology",88000,2000,USD,NA,"United States",Michigan,"Ann Arbor","31 - 40 years","21 - 30 years","Master'S Degree",Man
25-34,"EDUCATION (PRIMARY/SECONDARY)","Elementary Teacher",57000,0,USD,NA,"United States",Michigan,"Ann Arbor","5-7 years","5-7 years","Master'S Degree",Woman
25-34,"PUBLIC HEALTH","Engineer II",87000,2600,USD,NA,"United States",Michigan,"Ann Arbor","8 - 10 years","8 - 10 years","College Degree",Woman
35-44,"EDUCATION (HIGHER EDUCATION)","Evening Operations And Access Support",38835,2080,USD,NA,"United States",Michigan,"Ann Arbor","11 - 20 years","8 - 10 years","Master'S Degree",Woman
35-44,"EDUCATION (HIGHER EDUCATION)","Executive Assistant",54723,0,USD,NA,"United States",Michigan,"Ann Arbor","11 - 20 years","2 - 4 years","College Degree",Woman
45-54,NONPROFITS,"Finance Manager",45760,2000,USD,NA,"United States",Michigan,"Ann Arbor","21 - 30 years","11 - 20 years","College Degree",Non-binary
25-34,"EDUCATION (HIGHER EDUCATION)","GME (Graduate Medical Education) Program Administrator",49000,0,USD,NA,"United States",Michigan,"Ann Arbor","8 - 10 years","2 - 4 years","College Degree",Woman
25-34,"EDUCATION (HIGHER EDUCATION)","Graduate Student Instructor / Phd Candidate",33000,2000,USD,NA,"United States",Michigan,"Ann Arbor","5-7 years","5-7 years","Master'S Degree",Woman
25-34,"EDUCATION (HIGHER EDUCATION)","Health & Safety Assistant",34000,0,USD,NA,"United States",Michigan,"Ann Arbor","2 - 4 years","2 - 4 years","College Degree",Woman
35-44,"RECRUITMENT OR HR","HR  Director",93600,0,USD,NA,"United States",Michigan,"Ann Arbor","11 - 20 years","8 - 10 years","Master'S Degree",Woman
25-34,"COMPUTING OR TECH","Information Security Analyst",86659,7600,USD,NA,"United States",Michigan,"Ann Arbor","2 - 4 years","2 - 4 years","College Degree",Man
45-54,"COMPUTING OR TECH","Lead UX Researcher",130000,0,USD,NA,"United States",Michigan,"Ann Arbor","21 - 30 years","2 - 4 years",PH.D.,Woman
35-44,"COMPUTING OR TECH","Leader Of Business Intelligence",160500,24075,USD,NA,"United States",Michigan,"Ann Arbor","21 - 30 years","11 - 20 years","Master'S Degree",Man
25-34,"EDUCATION (HIGHER EDUCATION)",Librarian,86000,2000,USD,NA,"United States",Michigan,"Ann Arbor","8 - 10 years","8 - 10 years","Master'S Degree",Woman
25-34,"LIBRARY SCIENCE / PART-TIME WORK/STUDY","Library Assistant",24252,2000,USD,NA,"United States",Michigan,"Ann Arbor","1 year or less","1 year or less","Some College",Non-binary
35-44,"EDUCATION (HIGHER EDUCATION)","Mac Engineer",64000,0,USD,NA,"United States",Michigan,"Ann Arbor","11 - 20 years","11 - 20 years","College Degree",Man
45-54,"GOVERNMENT AND PUBLIC ADMINISTRATION",Manager,119500,2000,USD,NA,"United States",Michigan,"Ann Arbor","21 - 30 years","21 - 30 years","Master'S Degree",Man
35-44,PUBLISHING,Manager,68000,2000,USD,NA,"United States",Michigan,"Ann Arbor","11 - 20 years","11 - 20 years","College Degree",Woman
35-44,BIOTECH,"Marketing Manager",80000,10000,USD,NA,"United States",Michigan,"Ann Arbor","11 - 20 years","11 - 20 years","College Degree",Woman
25-34,"HEALTH CARE","Medical Technologist",57850,13000,USD,NA,"United States",Michigan,"Ann Arbor","5-7 years","2 - 4 years","College Degree",Non-binary
35-44,"EDUCATION (HIGHER EDUCATION)","Metadata Management Librarian",62000,0,USD,NA,"United States",Michigan,"Ann Arbor","11 - 20 years","2 - 4 years","Master'S Degree",Woman
35-44,"HEALTH CARE","Occupational Therapist",85400,2000,USD,NA,"United States",Michigan,"Ann Arbor","11 - 20 years","11 - 20 years","Master'S Degree",Woman
35-44,PUBLISHING,"Online Editor",9000,0,USD,NA,"United States",Michigan,"Ann Arbor","11 - 20 years","8 - 10 years","Master'S Degree",Woman
35-44,"ENGINEERING OR MANUFACTURING","Pharmaceutical Process Engineer",110000,0,USD,NA,"United States",Michigan,"Ann Arbor","11 - 20 years","11 - 20 years","College Degree",Woman
35-44,"EDUCATION (HIGHER EDUCATION)","Postdoctoral Researcher, Anthropology",54000,0,USD,NA,"United States",Michigan,"Ann Arbor","21 - 30 years","21 - 30 years",PH.D.,Woman
25-34,"EDUCATION (HIGHER EDUCATION)","Processing Archivist",63000,0,USD,NA,"United States",Michigan,"Ann Arbor","11 - 20 years","11 - 20 years","Master'S Degree","Other/Prefer not to answer"
25-34,"COMPUTING OR TECH","Project Coordinator",41600,0,USD,NA,"United States",Michigan,"Ann Arbor","8 - 10 years","5-7 years","College Degree",Non-binary
25-34,"EDUCATION (HIGHER EDUCATION)","Project Coordinator",70040,2000,USD,NA,"United States",Michigan,"Ann Arbor","5-7 years","5-7 years","Master'S Degree",Woman
25-34,"ACADEMIA / RESEARCH","Project Manager Senior",68500,0,USD,NA,"United States",Michigan,"Ann Arbor","11 - 20 years","8 - 10 years","Master'S Degree",Woman
25-34,"HEALTH CARE","Quality Assurance Coordinator",64000,0,USD,NA,"United States",Michigan,"Ann Arbor","5-7 years","5-7 years","Master'S Degree",Woman
25-34,"ENGINEERING OR MANUFACTURING","Quality Assurance Engineer",82000,1500,USD,NA,"United States",Michigan,"Ann Arbor","5-7 years","5-7 years","Master'S Degree",Woman
25-34,"HEALTH CARE","Quality Improvement Data Analyst",85000,0,USD,NA,"United States",Michigan,"Ann Arbor","8 - 10 years","8 - 10 years","Master'S Degree",Woman
25-34,"EDUCATION (HIGHER EDUCATION)","Records And Data Control Specialist",31000,500,USD,NA,"United States",Michigan,"Ann Arbor","5-7 years","2 - 4 years","College Degree",Man
25-34,"RECRUITMENT OR HR",Recruiter,89000,13300,USD,NA,"United States",Michigan,"Ann Arbor","8 - 10 years","2 - 4 years","College Degree",Woman
25-34,NONPROFITS,Registrar,44000,2000,USD,NA,"United States",Michigan,"Ann Arbor","8 - 10 years","8 - 10 years","Master'S Degree",Woman
25-34,"GOVERNMENT & PUBLIC ADMINISTRATION","Research Project Manager",76000,1000,USD,NA,"United States",Michigan,"Ann Arbor","5-7 years","5-7 years","Master'S Degree",Woman
25-34,"EDUCATION (HIGHER EDUCATION)","Research Scientist",100000,0,USD,NA,"United States",Michigan,"Ann Arbor","2 - 4 years","2 - 4 years",PH.D.,"Other/Prefer not to answer"
35-44,"COMPUTING OR TECH","Research Scientist",150000,2000,USD,NA,"United States",Michigan,"Ann Arbor","11 - 20 years","11 - 20 years",PH.D.,Woman
25-34,"EDUCATION (HIGHER EDUCATION)","Research Specialist Associate",42000,0,USD,NA,"United States",Michigan,"Ann Arbor","5-7 years","5-7 years","College Degree",Woman
25-34,"HEALTH CARE","Resident Physician",60275,6028,USD,NA,"United States",Michigan,"Ann Arbor","2 - 4 years","1 year or less","Professional Degree (MD, Jd, Etc.)",Man
25-34,BIOTECH,"Scientist I",81950,0,USD,NA,"United States",Michigan,"Ann Arbor","2 - 4 years","2 - 4 years",PH.D.,Woman
25-34,"PUBLIC HEALTH (NOT MEDICAL)","Scientist II",65000,1200,USD,NA,"United States",Michigan,"Ann Arbor","5-7 years","5-7 years","College Degree",Non-binary
35-44,"MEDIA & DIGITAL","Senior Analyst",81000,4000,USD,NA,"United States",Michigan,"Ann Arbor","11 - 20 years","2 - 4 years","High School",Woman
35-44,NONPROFITS,"Senior Association Manager",65000,2000,USD,NA,"United States",Michigan,"Ann Arbor","11 - 20 years","11 - 20 years","College Degree",Woman
35-44,"EDUCATION (HIGHER EDUCATION)","Senior Research Area Specialist",85000,0,USD,NA,"United States",Michigan,"Ann Arbor","11 - 20 years","8 - 10 years",PH.D.,Man
25-34,"COMPUTING OR TECH","Senior Software Engineer",165000,10000,USD,NA,"United States",Michigan,"Ann Arbor","8 - 10 years","8 - 10 years","College Degree",Woman
25-34,"EDUCATION (HIGHER EDUCATION)","Software Developer",64000,0,USD,NA,"United States",Michigan,"Ann Arbor","5-7 years","5-7 years","College Degree",Non-binary
35-44,"ENGINEERING OR MANUFACTURING","Software Engineer",119300,1000,USD,NA,"United States",Michigan,"Ann Arbor","11 - 20 years","11 - 20 years","Master'S Degree",Man
55-64,"MEDIA & DIGITAL","Staff Writer",60000,0,USD,NA,"United States",Michigan,"Ann Arbor","11 - 20 years","11 - 20 years","College Degree",Woman
25-34,"EDUCATION (HIGHER EDUCATION)","Statistical Programmer/Data Analyst",61500,0,USD,NA,"United States",Michigan,"Ann Arbor","2 - 4 years","2 - 4 years","Master'S Degree",Man
35-44,"EDUCATION (HIGHER EDUCATION)","Student Administrative Assistant",50000,0,USD,NA,"United States",Michigan,"Ann Arbor","11 - 20 years","2 - 4 years","College Degree",Woman
25-34,"EDUCATION (HIGHER EDUCATION)","Study Abroad Advisor",51000,2000,USD,NA,"United States",Michigan,"Ann Arbor","5-7 years","5-7 years","Master'S Degree",Woman
45-54,"EDUCATION (HIGHER EDUCATION)","Supervisor Of Student Activities",62672,2000,USD,NA,"United States",Michigan,"Ann Arbor","11 - 20 years","11 - 20 years","Master'S Degree",Woman
35-44,"GOVERNMENT & PUBLIC ADMINISTRATION","Supervisory Management Analyst",145000,4000,USD,NA,"United States",Michigan,"Ann Arbor","21 - 30 years","8 - 10 years","Master'S Degree",Woman
35-44,"EDUCATION (PRIMARY/SECONDARY)","Teacher Assistant",19000,0,USD,NA,"United States",Michigan,"Ann Arbor","21 - 30 years","8 - 10 years","College Degree",Woman
25-34,RETAIL,"Tech Consultant",25000,0,USD,NA,"United States",Michigan,"Ann Arbor","5-7 years","5-7 years","Some College",Woman
35-44,"COMPUTING OR TECH","Technical Lead",115000,0,USD,NA,"United States",Michigan,"Ann Arbor","11 - 20 years","8 - 10 years","College Degree",Woman
35-44,"COMPUTING OR TECH","Technology Manager/Scrum Master",99300,9900,USD,NA,"United States",Michigan,"Ann Arbor","11 - 20 years","2 - 4 years","College Degree",Woman
18-24,"COMPUTING OR TECH","User Experience (UX) Designer",72000,2000,USD,NA,"United States",Michigan,"Ann Arbor","2 - 4 years","1 year or less","College Degree",Woman
25-34,"COMPUTING OR TECH","User Experience Designer",85000,0,USD,NA,"United States",Michigan,"Ann Arbor","5-7 years","5-7 years","Master'S Degree",Non-binary
35-44,"ENGINEERING OR MANUFACTURING","User Experience Lead",130000,7000,USD,NA,"United States",Michigan,"Ann Arbor","11 - 20 years","8 - 10 years","Master'S Degree",Woman
25-34,NONPROFITS,"Development Associate",48000,0,USD,NA,"United States",Michigan,"Ann Arbor","5-7 years","2 - 4 years","College Degree",Woman
35-44,"EDUCATION (HIGHER EDUCATION)","Program Manager",75000,0,USD,NA,"United States",Michigan,"Ann Arbor","5-7 years","5-7 years",PH.D.,Woman
55-64,"LEISURE, SPORT & TOURISM","Recreation Supervisor",54000,0,USD,NA,"United States",Michigan,"Ann Arbor","21 - 30 years","21 - 30 years","College Degree",Woman
25-34,"EDUCATION (PRIMARY/SECONDARY)","Special Education Teaching Assistant",14000,2000,USD,NA,"United States",Michigan,"Ann Arbor","8 - 10 years","1 year or less","Master'S Degree",Woman
45-54,"ENGINEERING OR MANUFACTURING","Executive Assistant",65000,7000,USD,NA,"United States",Unknown,"Ann Arbor Area","11 - 20 years","11 - 20 years","College Degree",Woman
25-34,"SOCIAL WORK","Clinical Social Worker",55000,0,USD,NA,"United States",Michigan,"Ann Arbor, Michigan","11 - 20 years","8 - 10 years","Master'S Degree",Woman
35-44,"GOVERNMENT AND PUBLIC ADMINISTRATION",Analyst,125000,2000,USD,NA,"United States",Virginia,Annandale,"11 - 20 years","11 - 20 years","College Degree",Woman
35-44,NONPROFITS,Director,110000,2000,USD,NA,"United States",Virginia,Annandale,"11 - 20 years","11 - 20 years","Master'S Degree",Woman
55-64,NONPROFITS,"Association Solutions",47000,2000,USD,NA,"United States",Virginia,"Annandale VA","21 - 30 years","2 - 4 years","Some College",Woman
35-44,INSURANCE,"Account Manager",96000,35000,USD,NA,"United States",Maryland,Annapolis,"21 - 30 years","11 - 20 years","College Degree",Woman
25-34,"EDUCATION (HIGHER EDUCATION)","Assistant Director  Of Admissions",44000,0,USD,NA,"United States",Maryland,Annapolis,"8 - 10 years","5-7 years","College Degree",Woman
35-44,"EDUCATION (HIGHER EDUCATION)","Assistant Professor",140000,0,USD,NA,"United States",Maryland,Annapolis,"11 - 20 years","8 - 10 years",PH.D.,Woman
35-44,"EDUCATION (HIGHER EDUCATION)","Associate Professor",150000,0,USD,NA,"United States",Maryland,Annapolis,"8 - 10 years","5-7 years",PH.D.,Woman
25-34,"ACCOUNTING, BANKING & FINANCE","Branch Manager",85000,10000,USD,NA,"United States",Maryland,Annapolis,"8 - 10 years","8 - 10 years","College Degree",Woman
25-34,NONPROFITS,"Client Engagement Manager",57000,0,USD,NA,"United States",Maryland,Annapolis,"5-7 years","5-7 years","College Degree",Woman
35-44,"GOVERNMENT  & PUBLIC ADMINISTRATION","Compliance Director",75000,0,USD,NA,"United States",Maryland,Annapolis,"21 - 30 years","11 - 20 years","Some College",Woman
25-34,NONPROFITS,"Development Director",75000,3000,USD,NA,"United States","British Columbia",Annapolis,"2 - 4 years","2 - 4 years","College Degree",Man
35-44,"HEALTH CARE","Director Of Agency Services",93000,1500,USD,NA,"United States",Maryland,Annapolis,"11 - 20 years","11 - 20 years","Master'S Degree",Woman
35-44,"GOVERNMENT  & PUBLIC ADMINISTRATION","Employment Services Specialist",56183,2000,USD,NA,"United States",Maryland,Annapolis,"8 - 10 years","5-7 years","College Degree",Woman
25-34,"GOVERNMENT AND PUBLIC ADMINISTRATION",Librarian,60000,0,USD,NA,"United States",Maryland,Annapolis,"11 - 20 years","8 - 10 years","Master'S Degree",Woman
35-44,"HEALTH CARE","Nurse Practitioner",70000,2000,USD,NA,"United States",Maryland,Annapolis,"11 - 20 years","11 - 20 years","Master'S Degree",Woman
35-44,"GOVERNMENT AND PUBLIC ADMINISTRATION","Policy Analyst",71711,0,USD,NA,"United States",Maryland,Annapolis,"2 - 4 years","2 - 4 years","Master'S Degree",Man
35-44,"HEALTH CARE","Recruitment Supervisor",95000,17000,USD,NA,"United States",Maryland,Annapolis,"11 - 20 years","8 - 10 years","College Degree",Woman
45-54,"COMPUTING OR TECH","Senior  Systems Engineer",138000,0,USD,NA,"United States",Maryland,Annapolis,"21 - 30 years","11 - 20 years","Master'S Degree",Woman
35-44,"ENGINEERING OR MANUFACTURING","Senior Engineer",97000,0,USD,NA,"United States",Maryland,Annapolis,"11 - 20 years","11 - 20 years","College Degree",Woman
25-34,LAW,"Staff Attorney",89000,1000,USD,NA,"United States",Maryland,Annapolis,"8 - 10 years","2 - 4 years","Master'S Degree",Woman
25-34,"EDUCATION (HIGHER EDUCATION)","Student Success Coach",51000,2000,USD,NA,"United States",Maryland,Annapolis,"5-7 years","1 year or less","College Degree",Woman
55-64,"COMPUTING OR TECH","Senior Data Scientist",170000,20000,USD,NA,Canada,"Nova Scotia",Annapolis,"41 years or more","41 years or more","Master'S Degree",Man
25-34,"GOVERNMENT AND PUBLIC ADMINISTRATION","Legislative Aide",59000,2000,USD,NA,"United States",Maryland,Annapolis,"8 - 10 years","5-7 years","Master'S Degree",Woman
25-34,"GOVERNMENT AND PUBLIC ADMINISTRATION",Librarian,62000,0,USD,NA,"United States",Maryland,Annapolis,"8 - 10 years","5-7 years","Master'S Degree",Woman
45-54,ENTERTAINMENT,"Music Librarian",12000,2000,USD,NA,"United States",Maryland,Annapolis,"21 - 30 years","21 - 30 years","Master'S Degree",Woman
25-34,"GOVERNMENT AND PUBLIC ADMINISTRATION","Staff Technologist",113000,18000,USD,NA,"United States",Maryland,Annapolis,"8 - 10 years","5-7 years","College Degree",Man
25-34,TRANSLATION,Translator,22800,1900,EUR,NA,France,Auvergne-Rhône-Alpes,Annecy,"8 - 10 years","5-7 years","Master'S Degree","Other/Prefer not to answer"
35-44,"EDUCATION (HIGHER EDUCATION)","Assistant Director of HR",82000,0,USD,NA,"United States",Massachusetts,Anon,"11 - 20 years","5-7 years","Master'S Degree",Woman
35-44,"HEALTH CARE","Care Assistant",18200,2000,GBP,NA,"Northern Ireland, United Kingdom","Northern Ireland",Antrim,"8 - 10 years","2 - 4 years","High School",Woman
35-44,"COMPUTING OR TECH","Chief Marketing Officer",90000,2000,EUR,NA,Belgium,Flanders,Antwerp,"11 - 20 years","11 - 20 years","Master'S Degree",Woman
25-34,"BUSINESS OR CONSULTING","Data Visualization Consultant",63560,3300,EUR,NA,Belgium,Flanders,Antwerp,"5-7 years","5-7 years","Master'S Degree",Woman
35-44,"AGRICULTURE OR FORESTRY","Product Development Manager",87500,2000,EUR,NA,Belgium,Flanders,Antwerp,"11 - 20 years","11 - 20 years",PH.D.,Man
35-44,MINING,"IT Category Manager",73000,7500,EUR,NA,Belgium,Antwerp,Antwerpen,"11 - 20 years","8 - 10 years","College Degree",Man
25-34,"COMPUTING OR TECH","Implementation Operations Manager",116000,11600,USD,NA,"United States",Arizona,"Apache Junction","11 - 20 years","2 - 4 years","College Degree",Woman
55-64,NONPROFITS,"Human Resources Generalist",31824,2000,USD,NA,"United States",Arizona,"Apache Junction","31 - 40 years","5-7 years","College Degree",Woman
45-54,"COMPUTING OR TECH","Director Of User Research",190550,3000,USD,NA,"United States","North Carolina",Apex,"21 - 30 years","8 - 10 years","College Degree",Woman
35-44,RETAIL,"General Manager",64300,4000,USD,NA,"United States","North Carolina",Apex,"21 - 30 years","21 - 30 years","Some College",Woman
55-64,"ACCOUNTING, BANKING & FINANCE","Business Analyst",85000,9000,USD,NA,"United States",Minnesota,"Apple Valley","31 - 40 years","11 - 20 years","College Degree",Woman
25-34,"EDUCATION (PRIMARY/SECONDARY)","Science Teacher (Public High School)",53000,1000,USD,NA,"United States",Minnesota,"Apple Valley","5-7 years","1 year or less","Master'S Degree",Woman
25-34,"EDUCATION (HIGHER EDUCATION)","Admissions Advisor",56000,0,USD,NA,"United States",Wisconsin,Appleton,"8 - 10 years","5-7 years","Master'S Degree",Woman
25-34,"EDUCATION (HIGHER EDUCATION)","Assistant Laboratory Supervisor",37000,0,USD,NA,"United States",Wisconsin,Appleton,"5-7 years","5-7 years","Master'S Degree",Woman
25-34,"ENGINEERING OR MANUFACTURING","Civil Project Engineer IV",80000,8000,USD,NA,"United States",Wisconsin,Appleton,"5-7 years","5-7 years","Master'S Degree",Man
45-54,NONPROFITS,"Executive Assistant To President/Ceo",72500,0,USD,NA,"United States",Wisconsin,Appleton,"21 - 30 years","21 - 30 years","College Degree",Woman
25-34,"SOCIAL WORK",Therapist,50000,0,USD,NA,"United States",Wisconsin,Appleton,"5-7 years","5-7 years","Master'S Degree",Woman
25-34,"ACCOUNTING, BANKING & FINANCE","Financial Analysts",62000,1000,USD,NA,"United States",Wisconsin,Appleton,"8 - 10 years","8 - 10 years","College Degree",Woman
35-44,"BUSINESS OR CONSULTING","IT Consultant",90000,2000,USD,NA,"United States",Wisconsin,Appleton,"11 - 20 years","11 - 20 years","College Degree",Woman
