Age_Range,Industry,Job_Title,Annual_Salary,Additional_Monetary_Compensation,Currency,Other_Currency,Country,State/Province,City,Total _Years_of _Professional_Experience,Total_Years_of_Professional_Field_Experience,Highest_Education,Gender
35-44,ART & DESIGN,Graphic Designer,70000,2000,USD,NA,United States,Michigan,Grand Rapids,11 - 20 years,11 - 20 years,College Degree,Woman
55-64,SALES,Inside Sales,54000,28000,USD,NA,United States,Michigan,Grand Rapids,21 - 30 years,11 - 20 years,College Degree,Woman
35-44,ENGINEERING OR MANUFACTURING,IT Manager,100000,20000,USD,NA,United States,Michigan,Grand Rapids,11 - 20 years,11 - 20 years,College Degree,Man
35-44,COMPUTING OR TECH,It Support Analyst,54000,5000,USD,NA,United States,Michigan,Grand Rapids,11 - 20 years,5-7 years,College Degree,Woman
25-34,TRANSPORT OR LOGISTICS,IT Warehouse Support Specialist,41600,0,USD,NA,United States,Michigan,Grand Rapids,11 - 20 years,5-7 years,College Degree,Man
35-44,ENGINEERING OR MANUFACTURING,Manager Of Communication & Public Relations,83000,10000,USD,NA,United States,Michigan,Grand Rapids,11 - 20 years,11 - 20 years,Master'S Degree,Woman
35-44,SOCIAL WORK,Medical Social Worker,56846,0,USD,NA,United States,Michigan,Grand Rapids,11 - 20 years,11 - 20 years,Master'S Degree,Woman
35-44,RELIGIOUS,Minister Of Worship,53000,150,USD,NA,United States,Michigan,Grand Rapids,11 - 20 years,11 - 20 years,College Degree,Man
35-44,"ACCOUNTING, BANKING & FINANCE",Mortgage Servicing Manager,57000,0,USD,NA,United States,Michigan,Grand Rapids,11 - 20 years,8 - 10 years,College Degree,Woman
18-24,RECRUITMENT OR HR,Office Manager,34000,2000,USD,NA,United States,Michigan,Grand Rapids,2 - 4 years,1 year or less,College Degree,Woman
35-44,CONSULTANT,Owner,60000,100000,USD,NA,United States,Michigan,Grand Rapids,11 - 20 years,11 - 20 years,College Degree,Man
25-34,RECRUITMENT OR HR,Payroll & Benefits Specialist,66189,8000,USD,NA,United States,Michigan,Grand Rapids,8 - 10 years,5-7 years,College Degree,Woman
35-44,EDUCATION (PRIMARY/SECONDARY),Preschool Teacher,34000,0,USD,NA,United States,Michigan,Grand Rapids,11 - 20 years,8 - 10 years,College Degree,Woman
35-44,ART & DESIGN,Product Coordinator,40000,200,USD,NA,United States,Michigan,Grand Rapids,11 - 20 years,11 - 20 years,College Degree,Woman
25-34,NONPROFITS,Program Specialist,46000,2000,USD,NA,United States,Michigan,Grand Rapids,5-7 years,2 - 4 years,College Degree,Woman
35-44,ENGINEERING OR MANUFACTURING,Project Manager,98800,22000,USD,NA,United States,Michigan,Grand Rapids,11 - 20 years,11 - 20 years,College Degree,Woman
35-44,PROPERTY OR CONSTRUCTION,Proposal Manager,80000,2000,USD,NA,United States,Michigan,Grand Rapids,11 - 20 years,1 year or less,Master'S Degree,Man
25-34,"MARKETING, ADVERTISING & PR",Public Relations Specialist,63500,0,USD,NA,United States,Michigan,Grand Rapids,8 - 10 years,8 - 10 years,College Degree,Woman
35-44,ENGINEERING OR MANUFACTURING,Quality Manager,140000,30000,USD,NA,United States,Michigan,Grand Rapids,21 - 30 years,21 - 30 years,College Degree,Woman
25-34,R&D IN MANUFACTURING,R&D Project Manager,60000,6000,USD,NA,United States,Michigan,Grand Rapids,2 - 4 years,5-7 years,College Degree,Woman
35-44,HEALTH CARE,Registered Nurse,79000,2000,USD,NA,United States,Michigan,Grand Rapids,11 - 20 years,11 - 20 years,College Degree,Woman
35-44,HEALTH CARE,Registered Nurse,65000,2000,USD,NA,United States,Michigan,Grand Rapids,21 - 30 years,21 - 30 years,College Degree,Woman
25-34,COMPUTING OR TECH,Security Engineer II,90000,6000,USD,NA,United States,Michigan,Grand Rapids,11 - 20 years,5-7 years,College Degree,Man
35-44,"ACCOUNTING, BANKING & FINANCE",Senior Financial Analyst,90000,250,USD,NA,United States,Michigan,Grand Rapids,21 - 30 years,11 - 20 years,College Degree,Woman
25-34,COMPUTING OR TECH,Senior Front-End Web Developer,88000,3000,USD,NA,United States,Michigan,Grand Rapids,8 - 10 years,8 - 10 years,College Degree,Woman
35-44,HEALTH CARE,Senior Project Manager Supervisor,107000,24000,USD,NA,United States,Michigan,Grand Rapids,8 - 10 years,8 - 10 years,College Degree,Man
35-44,COMPUTING OR TECH,Senior Software Developer,93000,2000,USD,NA,United States,Michigan,Grand Rapids,11 - 20 years,11 - 20 years,College Degree,Man
25-34,ENGINEERING OR MANUFACTURING,Shipping Manager,65000,6500,USD,NA,United States,Michigan,Grand Rapids,5-7 years,1 year or less,College Degree,Woman
25-34,COMPUTING OR TECH,Software Developer,67500,12000,USD,NA,United States,Michigan,Grand Rapids,5-7 years,5-7 years,College Degree,Man
45-54,COMPUTING OR TECH,Software Developer,54000,1500,USD,NA,United States,Michigan,Grand Rapids,21 - 30 years,2 - 4 years,College Degree,Woman
45-54,"MARKETING, ADVERTISING & PR",Space & Merchandise Planner,65000,2000,USD,NA,United States,Michigan,Grand Rapids,21 - 30 years,11 - 20 years,Some College,Woman
25-34,LAW,Staff Attorney,74000,2000,USD,NA,United States,Michigan,Grand Rapids,8 - 10 years,2 - 4 years,Master'S Degree,Non-binary
35-44,"ACCOUNTING, BANKING & FINANCE",Treasury Manager,115000,0,USD,NA,United States,Michigan,Grand Rapids,11 - 20 years,11 - 20 years,Master'S Degree,Other \ prefer not to answer
18-24,"ACCOUNTING, BANKING & FINANCE",Accounting Assistant,37250,750,USD,NA,United States,Michigan,Grand Rapids,2 - 4 years,1 year or less,College Degree,Woman
25-34,RETAIL,Business Analyst,60000,2500,USD,NA,United States,Michigan,Grand Rapids,5-7 years,5-7 years,College Degree,Woman
45-54,RECRUITMENT OR HR,Director Of Operations,82500,0,USD,NA,United States,Michigan,Grand Rapids,21 - 30 years,8 - 10 years,College Degree,Woman
35-44,HEALTH CARE,Operations Specialist,75000,0,USD,NA,United States,Michigan,Grand Rapids,11 - 20 years,1 year or less,College Degree,Woman
18-24,ENGINEERING OR MANUFACTURING,Production Control Manager,65000,100,USD,NA,United States,Michigan,Grand Rapids,5-7 years,2 - 4 years,College Degree,Man
45-54,HEALTH CARE,Revenue Cycle Analyst,52320,0,USD,NA,United States,Michigan,Grand Rapids,21 - 30 years,5-7 years,College Degree,Woman
35-44,"ACCOUNTING, BANKING & FINANCE",Technical Writer,69500,7000,USD,NA,United States,Michigan,Grand Rapids,8 - 10 years,5-7 years,College Degree,Woman
25-34,NONPROFITS,Library Director,62000,2000,USD,NA,United States,Michigan,"Grand Rapids, Mi",8 - 10 years,2 - 4 years,Master'S Degree,Non-binary
25-34,RECRUITMENT OR HR,Human Resources Specialist,72000,0,CAD,NA,Canada,Alberta,Grande Prairie,5-7 years,2 - 4 years,College Degree,Woman
55-64,HEALTH CARE,Office Managet,50000,5000,CAD,NA,Canada,Alberta,Grande Prairie,31 - 40 years,8 - 10 years,Some College,Woman
25-34,LAW,Paralegal / Legal Assistant,54080,500,USD,NA,United States,Michigan,Grandville,11 - 20 years,11 - 20 years,College Degree,Woman
25-34,UTILITIES & TELECOMMUNICATIONS,IT Manager,130000,2000,USD,NA,United States,New Mexico,Grants,8 - 10 years,5-7 years,College Degree,Man
35-44,AVIATION,Helicopter Pilot- Captain,75000,7500,USD,NA,United States,New Mexico,"Grants, Nm",21 - 30 years,11 - 20 years,Master'S Degree,Woman
25-34,GOVERNMENT AND PUBLIC ADMINISTRATION,Administrative Analyst,51000,2000,USD,NA,United States,Texas,Grapevine,5-7 years,5-7 years,Master'S Degree,Woman
25-34,COMPUTING OR TECH,Product Manager,103000,2000,USD,NA,United States,Texas,Grapevine,2 - 4 years,2 - 4 years,College Degree,Man
45-54,EDUCATION (PRIMARY/SECONDARY),Teacher,62000,0,USD,NA,United States,Washington,Grays Harbor County,21 - 30 years,11 - 20 years,College Degree,Woman
25-34,LAW,Research Associate,53200,2000,EUR,NA,Austria,Styria,Graz,2 - 4 years,2 - 4 years,College Degree,Woman
35-44,HEALTH CARE,Nurse Practitioner,96800,2000,USD,NA,United States,Montana,Great Falls,11 - 20 years,2 - 4 years,"Professional Degree (MD, Jd, Etc.)",Woman
35-44,INSURANCE,Producer,48000,2000,USD,NA,United States,Montana,Great Falls,11 - 20 years,11 - 20 years,Some College,Woman
35-44,GOVERNMENT AND PUBLIC ADMINISTRATION,Librarian II,46000,0,USD,NA,United States,Georgia,Greater Atlanta Area,11 - 20 years,8 - 10 years,Master'S Degree,Woman
25-34,SOCIAL WORK,Behavioral Health Vocational Coach,38000,1000,USD,NA,United States,Massachusetts,Greater Boston,5-7 years,2 - 4 years,College Degree,Woman
25-34,"ACCOUNTING, BANKING & FINANCE",Engineering Business Analyst,82000,5000,USD,NA,United States,Massachusetts,Greater Boston,2 - 4 years,2 - 4 years,College Degree,Woman
35-44,RESEARCH,Research Project Manager II,107000,0,USD,NA,United States,Massachusetts,Greater Boston,11 - 20 years,11 - 20 years,Master'S Degree,Woman
45-54,NONPROFITS,Community Manager,56238,2400,USD,NA,United States,Massachusetts,Greater Boston Area,31 - 40 years,21 - 30 years,High School,Woman
25-34,COMPUTING OR TECH,Director Of Bioinformatics,140000,5000,USD,NA,United States,Massachusetts,Greater Boston Area,8 - 10 years,8 - 10 years,PH.D.,Woman
35-44,GOVERNMENT & PUBLIC ADMINISTRATION,Policy Analyst,70000,2000,USD,NA,United States,Massachusetts,Greater Boston Area,8 - 10 years,5-7 years,Master'S Degree,Woman
25-34,GOVERNMENT AND PUBLIC ADMINISTRATION,Program Auditor,80000,2000,USD,NA,United States,New Hampshire,Greater Boston Area,5-7 years,5-7 years,Master'S Degree,Woman
25-34,ACADEMIC RESEARCH (SOCIAL SCIENCE),Research Specialist,45000,2000,USD,NA,United States,Massachusetts,Greater Boston Area,2 - 4 years,2 - 4 years,Master'S Degree,Woman
25-34,EDUCATION (HIGHER EDUCATION),Learning And Retention Specialist,50000,0,USD,NA,United States,Illinois,Greater Chicago,5-7 years,5-7 years,Master'S Degree,Woman
25-34,NONPROFITS,Development Officer,42500,0,USD,NA,United States,Illinois,Greater Chicago Area,2 - 4 years,2 - 4 years,Some College,Woman
35-44,INSURANCE,Senior Network Operations Technician,55000,2000,USD,NA,United States,Illinois,Greater Chicago Area,11 - 20 years,5-7 years,College Degree,Man
35-44,EDUCATION (HIGHER EDUCATION),Director Of Grants,81400,0,USD,NA,United States,Illinois,Greater Chicagoland,11 - 20 years,11 - 20 years,Master'S Degree,Woman
35-44,COMPUTING OR TECH,Market Research Manager,104000,5000,USD,NA,United States,Illinois,Greater Chicagoland,11 - 20 years,8 - 10 years,Master'S Degree,Woman
25-34,NONPROFITS,Communication Manager,56000,0,USD,NA,United States,Ohio,Greater Cleveland,11 - 20 years,8 - 10 years,Master'S Degree,Woman
35-44,NONPROFITS,Youth Services Manager,63000,0,USD,NA,United States,Ohio,Greater Cleveland,11 - 20 years,5-7 years,Master'S Degree,Woman
35-44,PROPERTY OR CONSTRUCTION,Document Control,42000,2000,GBP,NA,United Kingdom,Unknown,Greater London,11 - 20 years,11 - 20 years,High School,Woman
25-34,EDUCATION (PRIMARY/SECONDARY),Teacher,38600,100,GBP,NA,United Kingdom,Unknown,Greater London,5-7 years,5-7 years,PH.D.,Woman
25-34,RETAIL,Associate Merchant,64000,5400,USD,NA,United States,Wisconsin,Greater Madison Area,11 - 20 years,5-7 years,College Degree,Woman
35-44,TRANSPORT OR LOGISTICS,Supply Chain Coordinator,52000,5000,USD,NA,United States,Minnesota,Greater Minneapolis Metro Area,11 - 20 years,2 - 4 years,College Degree,Woman
35-44,TRANSPORT OR LOGISTICS,Department Supervisor,64000,0,USD,NA,United States,Tennessee,Greater Nashville Area,11 - 20 years,11 - 20 years,Master'S Degree,Woman
35-44,PROPERTY OR CONSTRUCTION,HR Director,101000,2000,USD,NA,United States,Louisiana,Greater New Orleans Metro Region,8 - 10 years,5-7 years,College Degree,Woman
25-34,EDUCATION (HIGHER EDUCATION),Administrative Assistant,51000,2000,USD,NA,United States,New Jersey,Greater Nyc Area,2 - 4 years,2 - 4 years,College Degree,Woman
25-34,NONPROFITS,Assistant To Library Director,44900,0,USD,NA,United States,New Jersey,Greater Nyc Area,5-7 years,5-7 years,College Degree,Woman
25-34,COMPUTING OR TECH,Software Engineer,136000,50000,USD,NA,United States,Unknown,Greater Nyc Metro,5-7 years,5-7 years,College Degree,Man
45-54,MEDIA & DIGITAL,Senior Editor,65000,0,USD,NA,United States,New Jersey,Greater Philadelphia,21 - 30 years,21 - 30 years,College Degree,Woman
45-54,PROPERTY OR CONSTRUCTION,Accounts Payable,55000,0,USD,NA,United States,Pennsylvania,Greater Philadelphia Area,31 - 40 years,2 - 4 years,College Degree,Woman
35-44,EDUCATION (HIGHER EDUCATION),Research Assistant II,51000,0,USD,NA,United States,Unknown,Greater Philadelphia Area,11 - 20 years,8 - 10 years,College Degree,Woman
25-34,PHARMACEUTICAL R&D,Statistician,90000,5000,USD,NA,United States,Pennsylvania,Greater Philadelphia Area,5-7 years,2 - 4 years,Master'S Degree,Man
25-34,HEALTH CARE,Director of Medical Group Administration,134000,0,USD,NA,United States,Pennsylvania,Greater Philly,8 - 10 years,8 - 10 years,Master'S Degree,Woman
25-34,HEALTH CARE,Director of Medical Group Administration,134000,0,USD,NA,United States,Pennsylvania,Greater Philly,8 - 10 years,8 - 10 years,Master'S Degree,Woman
35-44,EDUCATION (HIGHER EDUCATION),Prospect Research,61500,9000,USD,NA,United States,Maine,Greater Portland,11 - 20 years,5-7 years,Master'S Degree,Woman
25-34,RECRUITMENT OR HR,Senior Consultant I,65000,6000,USD,NA,United States,California,Greater Sacramento,8 - 10 years,5-7 years,Master'S Degree,Woman
25-34,NONPROFITS,Grants Administrator,44000,0,USD,NA,United States,Washington,Greater Seattle Area,5-7 years,2 - 4 years,College Degree,Woman
25-34,RETAIL,Store Manager,55000,2000,USD,NA,United States,Washington,Greater Seattle Area,11 - 20 years,11 - 20 years,College Degree,Woman
45-54,EDUCATION (HIGHER EDUCATION),Associate Vice President Students,155000,2000,CAD,NA,Canada,Ontario,Greater Toronto Area,21 - 30 years,21 - 30 years,PH.D.,Woman
25-34,ENGINEERING OR MANUFACTURING,Customer Service Specialist,45000,0,CAD,NA,Canada,Ontario,Greater Toronto Area,5-7 years,2 - 4 years,College Degree,Woman
35-44,COMPUTING OR TECH,Junior Product Owner,63000,2000,CAD,NA,Canada,Ontario,Greater Toronto Area,11 - 20 years,1 year or less,Master'S Degree,Woman
35-44,EDUCATION (HIGHER EDUCATION),Library Department Head,132500,0,CAD,NA,Canada,Ontario,Greater Toronto Area,11 - 20 years,11 - 20 years,Master'S Degree,Man
25-34,TRANSPORT OR LOGISTICS,Logistics Coordinator,82000,5000,CAD,NA,Canada,Ontario,Greater Toronto Area,11 - 20 years,8 - 10 years,College Degree,Woman
35-44,UTILITIES & TELECOMMUNICATIONS,Senior Engineer,120000,1000,CAD,NA,Canada,Ontario,Greater Toronto Area,11 - 20 years,11 - 20 years,College Degree,Woman
25-34,UTILITIES & TELECOMMUNICATIONS,"Senior Manager, Network",87000,15000,CAD,NA,Canada,Ontario,Greater Toronto Area,5-7 years,5-7 years,College Degree,Man
35-44,"ACCOUNTING, BANKING & FINANCE",Senior Tax Manager,120000,7000,CAD,NA,Canada,Ontario,Greater Toronto Area,11 - 20 years,11 - 20 years,College Degree,Woman
35-44,EDUCATION (PRIMARY/SECONDARY),Teacher/Consultant,90000,0,CAD,NA,Canada,Ontario,Greater Toronto Area,11 - 20 years,11 - 20 years,"Professional Degree (MD, Jd, Etc.)",Woman
45-54,GOVERNMENT  & PUBLIC ADMINISTRATION,COO (Chief Operating Officer),80000,2000,CAD,NA,Canada,British Columbia,Greater Vancouver,11 - 20 years,11 - 20 years,College Degree,Woman
25-34,EDUCATION (PRIMARY/SECONDARY),5th Grade Teacher,50000,2000,USD,NA,United States,Colorado,Greeley,8 - 10 years,8 - 10 years,PH.D.,Woman
35-44,EDUCATION (HIGHER EDUCATION),Head Of Technical Services,77000,2000,USD,NA,United States,Colorado,Greeley,11 - 20 years,11 - 20 years,Master'S Degree,Woman
35-44,EDUCATION (HIGHER EDUCATION),School Certifying Official,45000,0,USD,NA,United States,Colorado,Greeley,11 - 20 years,2 - 4 years,Master'S Degree,Woman
25-34,OIL AND GAS,Senior Health And Safety Coordinator,106500,18000,USD,NA,United States,Colorado,Greeley,5-7 years,5-7 years,College Degree,Woman
45-54,TRANSPORT OR LOGISTICS,Owner Operator Truck Driver,96000,2000,USD,NA,United States,Colorado,Greeley Surrounding Area,31 - 40 years,11 - 20 years,Some College,Man
45-54,EDUCATION (HIGHER EDUCATION),Administrative Assistant,49000,2000,USD,NA,United States,Wisconsin,Green Bay,21 - 30 years,8 - 10 years,College Degree,Woman
35-44,LAW,Associate General Counsel,150000,5000,USD,NA,United States,Wisconsin,Green Bay,8 - 10 years,8 - 10 years,"Professional Degree (MD, Jd, Etc.)",Woman
35-44,INSURANCE,Data Analyst,84000,8000,USD,NA,United States,Wisconsin,Green Bay,11 - 20 years,2 - 4 years,Master'S Degree,Woman
35-44,UTILITIES & TELECOMMUNICATIONS,Director Of Customer Service,100000,12000,USD,NA,United States,Wisconsin,Green Bay,11 - 20 years,5-7 years,College Degree,Woman
25-34,"ACCOUNTING, BANKING & FINANCE",Financial Analyst,69201,2000,USD,NA,United States,Wisconsin,Green Bay,5-7 years,5-7 years,College Degree,Man
45-54,ENGINEERING OR MANUFACTURING,Ils Specialist,93000,4000,USD,NA,United States,Wisconsin,Green Bay,21 - 30 years,2 - 4 years,Some College,Man
25-34,ENGINEERING OR MANUFACTURING,IT Services Manager,71000,0,USD,NA,United States,Wisconsin,Green Bay,11 - 20 years,8 - 10 years,College Degree,Woman
25-34,"MARKETING, ADVERTISING & PR",Marketing Director,68000,2000,USD,NA,United States,Wisconsin,Green Bay,5-7 years,5-7 years,College Degree,Woman
25-34,TRANSPORT OR LOGISTICS,Marketing Manager,90000,9000,USD,NA,United States,Wisconsin,Green Bay,11 - 20 years,11 - 20 years,College Degree,Woman
25-34,ENGINEERING OR MANUFACTURING,Plant HR  Manager,82000,8200,USD,NA,United States,Wisconsin,Green Bay,11 - 20 years,8 - 10 years,College Degree,Woman
45-54,NONPROFITS,Senior Director Of Content,140000,3000,USD,NA,United States,Wyoming,Green Bay,21 - 30 years,11 - 20 years,College Degree,Woman
55-64,ENTERTAINMENT,Systems Engineer,117500,2000,USD,NA,United States,Wisconsin,Green Bay,21 - 30 years,11 - 20 years,Some College,Man
25-34,SOCIAL WORK,Behavioral Care Therapist,37500,2000,USD,NA,United States,Wisconsin,Green Bay,1 year or less,2 - 4 years,Master'S Degree,Woman
35-44,ENGINEERING OR MANUFACTURING,Process Engineer,78000,1000,USD,NA,United States,Illinois,Green Oaks,8 - 10 years,8 - 10 years,College Degree,Woman
25-34,MUSEUMS,Public Engagement Coordinator,42500,0,USD,NA,United States,Wyoming,Green River,11 - 20 years,5-7 years,Master'S Degree,Man
35-44,GOVERNMENT AND PUBLIC ADMINISTRATION,Associate Research Scientist,105000,0,USD,NA,United States,Maryland,Greenbelt,11 - 20 years,11 - 20 years,PH.D.,Non-binary
25-34,ENGINEERING OR MANUFACTURING,Flight Operations Engineer,88400,2000,USD,NA,United States,Maryland,Greenbelt,2 - 4 years,2 - 4 years,College Degree,Woman
25-34,GOVERNMENT & PUBLIC ADMINISTRATION,Operations Research Analyst,103690,1500,USD,NA,United States,Maryland,Greenbelt,2 - 4 years,2 - 4 years,College Degree,Woman
25-34,EDUCATION (HIGHER EDUCATION),Postdoc,67000,2000,USD,NA,United States,Maryland,Greenbelt,1 year or less,1 year or less,PH.D.,Non-binary
25-34,MEDIA & DIGITAL,Science Video Producer,70000,2000,USD,NA,United States,Maryland,Greenbelt,5-7 years,5-7 years,Master'S Degree,Woman
35-44,COMPUTING OR TECH,Senior Software Engineer,133000,1000,USD,NA,United States,Maryland,Greenbelt,11 - 20 years,11 - 20 years,PH.D.,Woman
35-44,ENGINEERING OR MANUFACTURING,Software Engineer,121000,0,USD,NA,United States,Maryland,Greenbelt,11 - 20 years,8 - 10 years,College Degree,Man
35-44,ENGINEERING OR MANUFACTURING,Spacecraft Systems Engineer,134000,2000,USD,NA,United States,Maryland,Greenbelt,11 - 20 years,11 - 20 years,Master'S Degree,Woman
25-34,SALES,Customer Service Representative,34112,0,USD,NA,United States,Pennsylvania,Greencastle,2 - 4 years,2 - 4 years,College Degree,Woman
35-44,HEALTH CARE,Director Of Nursing,70000,0,USD,NA,United States,Indiana,Greencastle,11 - 20 years,11 - 20 years,College Degree,Woman
25-34,EDUCATION (HIGHER EDUCATION),Visiting Instructor,59900,0,USD,NA,United States,Indiana,Greencastle,5-7 years,5-7 years,Master'S Degree,Woman
18-24,ENGINEERING OR MANUFACTURING,Custom Engineer (Mechanical),60000,3500,USD,NA,United States,New York,Greene,2 - 4 years,2 - 4 years,College Degree,Woman
45-54,HEALTH CARE,Administrative Assistant,24980,2250,USD,NA,United States,Tennessee,Greeneville,21 - 30 years,11 - 20 years,College Degree,Woman
