City,Industry,Average_Salary
"Atlantic City","PUBLIC LIBRARIES",47700.0000
Attleboro,"EDUCATION (PRIMARY/SECONDARY)",67000.0000
Attleboro,SALES,65000.0000
Attleboro,"HEALTH CARE",46425.0000
Auburn,"ACCOUNTING, BANKING & FINANCE",108250.0000
Auburn,"HOSPITALITY & EVENTS",90000.0000
Auburn,SALES,77500.0000
Auburn,"EDUCATION (HIGHER EDUCATION)",65640.0000
Auburn,"GOVERNMENT AND PUBLIC ADMINISTRATION",54496.0000
Auburn,"COMPUTING  OR TECH",29120.0000
Auckland,"ACCOUNTING, BANKING & FINANCE",130200.0000
Auckland,"UTILITIES & TELECOMMUNICATIONS",121000.0000
Auckland,MANUFACTURING,120000.0000
Auckland,INSURANCE,115500.0000
Auckland,"EDUCATION (HIGHER EDUCATION)",115000.0000
Auckland,"COMPUTING OR TECH",110741.2857
Auckland,"BUSINESS OR CONSULTING",110000.0000
Auckland,SALES,105000.0000
Auckland,LAW,96333.3333
Auckland,"GOVERNMENT  & PUBLIC ADMINISTRATION",94726.0000
Auckland,"MARKETING, ADVERTISING & PR",92250.0000
Auckland,"PROPERTY OR CONSTRUCTION",92000.0000
Auckland,"TRANSPORT OR LOGISTICS",92000.0000
Auckland,"ART & DESIGN",84000.0000
Auckland,"MEDIA & DIGITAL",84000.0000
Auckland,"GOVERNMENT AND PUBLIC ADMINISTRATION",80666.6667
Auckland,"EDUCATION (PRIMARY/SECONDARY)",75000.0000
Auckland,ENVIRONMENTAL,71000.0000
Auckland,"ENGINEERING OR MANUFACTURING",69000.0000
Auckland,NONPROFITS,68000.0000
Auckland,"LEISURE, SPORT & TOURISM",56000.0000
Auckland,"MARKET RESEARCH",34000.0000
Augusta,"ENGINEERING OR MANUFACTURING",98250.0000
Augusta,"AGRICULTURE OR FORESTRY",91000.0000
Augusta,INSURANCE,86000.0000
Augusta,"EDUCATION (HIGHER EDUCATION)",85000.0000
Augusta,"TRANSPORT OR LOGISTICS",78000.0000
Augusta,"GOVERNMENT  & PUBLIC ADMINISTRATION",77646.3333
Augusta,"COMPUTING OR TECH",74333.3333
Augusta,NONPROFITS,56500.0000
Augusta,"HEALTH CARE",49513.3333
Augusta,"GOVERNMENT AND PUBLIC ADMINISTRATION",41000.0000
Augusta,"ANIMAL CARE",32000.0000
Augusta,RETAIL,27500.0000
Aurora,"COMPUTING OR TECH",152500.0000
Aurora,"GOVERNMENT AND PUBLIC ADMINISTRATION",111000.0000
Aurora,"ENGINEERING OR MANUFACTURING",92500.0000
Aurora,"HEALTH CARE",85735.8333
Aurora,RETAIL,68250.0000
Aurora,"CLINICAL RESEARCH",63000.0000
Aurora,NONPROFITS,57000.0000
Aurora,IT,56000.0000
Aurora,"EDUCATION (PRIMARY/SECONDARY)",48000.0000
Aurora,"LAW ENFORCEMENT & SECURITY",41000.0000
Austell,"HEALTH CARE",29600.0000
Austin,"ENVIRONMENTAL CONSULTING",132000.0000
Austin,"TRANSPORT OR LOGISTICS",121666.6667
Austin,"COMPUTING OR TECH",114294.6126
Austin,ENTERTAINMENT,110000.0000
Austin,"ENGINEERING OR MANUFACTURING",108712.8235
Austin,"BUSINESS OR CONSULTING",100375.0000
Austin,LAW,99426.6667
Austin,"ACCOUNTING, BANKING & FINANCE",96293.7500
Austin,"VIDEO GAMES",95000.0000
Austin,"MARKETING, ADVERTISING & PR",94891.6667
Austin,TRANSLATION,93400.0000
Austin,"HEALTH CARE",83683.2667
Austin,NONPROFITS,81670.7273
Austin,"GOVERNMENT AND PUBLIC ADMINISTRATION",74764.0000
Austin,"PROPERTY OR CONSTRUCTION",72875.0000
Austin,ARCHITECTURE,70000.0000
Austin,"UTILITIES & TELECOMMUNICATIONS",70000.0000
Austin,RETAIL,68580.0000
Austin,"ART & DESIGN",68500.0000
Austin,GAMING,68500.0000
Austin,"EDUCATION (HIGHER EDUCATION)",67220.0000
Austin,"FOOD & BEVERAGE",67000.0000
Austin,INSURANCE,66800.0000
Austin,MUSIC,65000.0000
Austin,CONSULTING,65000.0000
Austin,UNKNOWN,65000.0000
Austin,"RECRUITMENT OR HR",63748.0000
Austin,"MEDIA & DIGITAL",63452.0000
Austin,"PUBLIC HEALTH",62000.0000
Austin,"GOVERNMENT  & PUBLIC ADMINISTRATION",61310.0000
Austin,"GOVERNMENT & PUBLIC ADMINISTRATION",58125.5000
Austin,"COMPUTING  OR TECH",55120.0000
Austin,"PUBLIC LIBRARY",55000.0000
Austin,"EDUCATION (PRIMARY/SECONDARY)",54026.1429
Austin,SALES,54025.5556
Austin,"SOCIAL WORK",53666.6667
Austin,"REAL ESTATE CUSTOMER CARE",50000.0000
Austin,"ACADEMIA--CELL AND MOLECULAR BIOLOGY",48000.0000
Austin,"AGRICULTURE OR FORESTRY",40000.0000
Austin,"HOSPITALITY & EVENTS",35360.0000
Austin,"INTERIOR LANDSCAPING",33000.0000
Australia,"COMPUTING OR TECH",70000.0000
"Avon Lake","COMPUTING OR TECH",62000.0000
Ayer,"ACCOUNTING, BANKING & FINANCE",140000.0000
Ayer,"HEALTH CARE",83200.0000
Aylesbury,"TRANSPORT OR LOGISTICS",43000.0000
Badajoz,TRANSLATION,24000.0000
Baden-Württemberg,"COMPUTING OR TECH",39000.0000
Bagdad,"ENGINEERING OR MANUFACTURING",130000.0000
"Bainbridge Island",RETAIL,32000.0000
Bakersfield,LAW,125000.0000
Bakersfield,"EDUCATION (HIGHER EDUCATION)",90000.0000
Bakersfield,"EDUCATION (PRIMARY/SECONDARY)",65.0000
"Ball Ground","GOVERNMENT  & PUBLIC ADMINISTRATION",35570.0000
Ballarat,"ENGINEERING OR MANUFACTURING",90000.0000
"Ballston Spa","MARKETING, ADVERTISING & PR",50000.0000
Baltimore,"UTILITIES & TELECOMMUNICATIONS",129550.0000
Baltimore,"SCIENTIFIC RESEARCH",125000.0000
Baltimore,"ENGINEERING OR MANUFACTURING",115736.4000
Baltimore,"COMPUTING OR TECH",104868.5714
Baltimore,"BUSINESS OR CONSULTING",97840.0000
Baltimore,LAW,97583.3333
Baltimore,"HEALTH CARE",96885.5833
Baltimore,"MEDICAL DEVICES",96000.0000
Baltimore,APPAREL,95000.0000
Baltimore,"ACCOUNTING, BANKING & FINANCE",92207.2857
Baltimore,"LEISURE, SPORT & TOURISM",91000.0000
Baltimore,"GOVERNMENT AND PUBLIC ADMINISTRATION",85292.7500
Baltimore,PHARMACEUTICALS,85000.0000
Baltimore,"MARKETING, ADVERTISING & PR",84000.0000
Baltimore,"EDUCATION (PRIMARY/SECONDARY)",80071.4286
Baltimore,PHILANTHROPY,80000.0000
Baltimore,NONPROFITS,78875.0000
Baltimore,"GOVERNMENT & PUBLIC ADMINISTRATION",78500.0000
Baltimore,"EDUCATION (HIGHER EDUCATION)",77840.2609
Baltimore,MUSEUMS,75000.0000
Baltimore,INSURANCE,74592.5000
Baltimore,"MEDIA & DIGITAL",73793.7500
Baltimore,"HOSPITALITY & EVENTS",70000.0000
Baltimore,"TRANSPORT OR LOGISTICS",69847.3333
Baltimore,"SOCIAL WORK",69625.0000
Baltimore,"RECRUITMENT OR HR",68333.3333
Baltimore,RETAIL,65500.0000
Baltimore,"GOVERNMENT  & PUBLIC ADMINISTRATION",60250.0000
Baltimore,"PROPERTY OR CONSTRUCTION",56000.0000
Baltimore,LIBRARY,55000.0000
Baltimore,"ART & DESIGN",52448.0000
Baltimore,MANUFACTURING,50000.0000
Baltimore,"AGRICULTURE OR FORESTRY",44106.6667
Baltimore,COACHING,44000.0000
Baltimore,WAREHOUSE,37440.0000
Baltimore,"BIOLOGICAL RESEARCH",34000.0000
Baltimore,"ENVIRONMENTAL REGULATION",58.0000
"Baltimore Area","EDUCATION (HIGHER EDUCATION)",86000.0000
"Baltimore Area","BIOMEDICAL RESEARCH",53000.0000
"Baltimore County","PUBLIC LIBRARIES",110000.0000
"Baltimore County","EDUCATION (HIGHER EDUCATION)",60000.0000
"Baltimore Metro Region","GOVERNMENT  & PUBLIC ADMINISTRATION",77000.0000
"Baltimore Metro Region","EDUCATION (HIGHER EDUCATION)",53000.0000
"Baltimore Suburbs","ENGINEERING OR MANUFACTURING",91000.0000
"Baltimore Suburbs","ACCOUNTING, BANKING & FINANCE",56000.0000
Bangalore,"COMPUTING OR TECH",100000.0000
Bangalore,"BUSINESS  OR CONSULTING",6600.0000
Bangkok,"COMPUTING OR TECH",52000.0000
Bangkok,"MARKETING, ADVERTISING & PR",50500.0000
Bangkok,RETAIL,30000.0000
Bangor,"SCIENCE/RESEARCH NON-ACADEMIC",76000.0000
Bangor,"EDUCATION (HIGHER EDUCATION)",58500.0000
Bangor,"ENGINEERING OR MANUFACTURING",45000.0000
Bangor,"ACCOUNTING, BANKING & FINANCE",41626.6667
Bangor,NONPROFITS,39000.0000
Bangor,"EDUCATION (PRIMARY/SECONDARY)",22000.0000
Bangot,"SOCIAL WORK",28080.0000
"Banja Luka","MARKETING, ADVERTISING & PR",6500.0000
Bannockburn,"BUSINESS OR CONSULTING",72500.0000
Barcelona,"MEDIA & DIGITAL",71000.0000
Barcelona,"ENGINEERING OR MANUFACTURING",60000.0000
Barcelona,"HEALTH CARE",55000.0000
Barcelona,"GAMES DEVELOPMENT",48000.0000
Barcelona,"COMPUTING OR TECH",47000.0000
Barcelona,"TRANSPORT OR LOGISTICS",40000.0000
Barcelona,"EDUCATION (PRIMARY/SECONDARY)",40000.0000
Barcelona,"RECRUITMENT OR HR",40000.0000
Barcelona,NONPROFITS,36000.0000
Barcelona,"MARKETING, ADVERTISING & PR",35500.0000
Barcelona,"HOSPITALITY & EVENTS",23500.0000
Barcelona,TRANSLATION,8000.0000
Bardstown,RETAIL,29000.0000
Barnstable,"GOVERNMENT AND PUBLIC ADMINISTRATION",72000.0000
Barnstable,"AGRICULTURE OR FORESTRY",60000.0000
Barnstable,"ACCOUNTING, BANKING & FINANCE",37700.0000
Barrie,"HEALTH CARE",96000.0000
Barrie,"MEDIA & DIGITAL",72000.0000
Barrie,LAW,57500.0000
Barrington,NONPROFITS,52500.0000
Bartlesville,"OIL & GAS",160000.0000
Bartlett,"RECRUITMENT OR HR",55000.0000
Barxelona,"UTILITIES & TELECOMMUNICATIONS",57000.0000
Basel,"GOVERNMENT AND PUBLIC ADMINISTRATION",125000.0000
Basel,"HEALTH CARE",115000.0000
Basel,CHEMICAL,110000.0000
Basel,"EDUCATION (HIGHER EDUCATION)",68000.0000
Basel,"MEDIA & DIGITAL",60000.0000
Basel,RETAIL,55.0000
Basingstoke,"COMPUTING OR TECH",75000.0000
Basingstoke,AVIATION,52400.0000
"Basking Ridge","UTILITIES & TELECOMMUNICATIONS",75000.0000
"Basking Ridge","COMPUTING OR TECH",60000.0000
"Basking Ridge",NONPROFITS,31000.0000
Batangas,"ENGINEERING  OR MANUFACTURING",264.0000
Batavia,"GOVERNMENT AND PUBLIC ADMINISTRATION",80832.5000
Batavia,"AGRICULTURE OR FORESTRY",66250.0000
Batavia,"MARKETING, ADVERTISING & PR",35500.0000
Batesville,"MEDICAL TECHNOLOGY",133000.0000
Batesville,LAW,85000.0000
Bath,"ENGINEERING OR MANUFACTURING",108300.0000
Bath,"DEFENSE CONTRACTOR",69000.0000
Bath,"ACCOUNTING, BANKING & FINANCE",45000.0000
Bath,"HEALTH CARE",37500.0000
Bath,"EDUCATION (HIGHER EDUCATION)",28338.0000
Bath,CHILDCARE,18720.0000
Bathesda,"CORPORATE SUSTAINABILITY",110000.0000
"Baton Rouge","EDUCATION (PRIMARY/SECONDARY)",98000.0000
"Baton Rouge","GOVERNMENT  & PUBLIC ADMINISTRATION",95000.0000
"Baton Rouge","RECRUITMENT OR HR",93180.0000
"Baton Rouge","COMPUTING OR TECH",81600.0000
"Baton Rouge","ENGINEERING OR MANUFACTURING",79031.0000
"Baton Rouge",LAW,73000.0000
"Baton Rouge","UTILITIES & TELECOMMUNICATIONS",70000.0000
"Baton Rouge",ENTERTAINMENT,65520.0000
"Baton Rouge","ACCOUNTING, BANKING & FINANCE",65250.0000
"Baton Rouge","ENVIRONMENTAL COMPLIANCE",54000.0000
"Baton Rouge","EDUCATION PUBLISHING",52500.0000
"Baton Rouge","GOVERNMENT AND PUBLIC ADMINISTRATION",46000.0000
"Baton Rouge","HEALTH CARE",43100.0000
"Baton Rouge","MEDIA & DIGITAL",40000.0000
"Bay Area","SOCIAL WORK",170000.0000
"Bay Area","HEALTH CARE",166500.0000
"Bay Area","SCIENTIFIC RESEARCH",160000.0000
"Bay Area","COMPUTING OR TECH",147333.3333
"Bay Area",ENTERTAINMENT,140000.0000
"Bay Area","VIDEO GAMES",130000.0000
"Bay Area",BIOTECH,120000.0000
"Bay Area","BUSINESS OR CONSULTING",117500.0000
"Bay Area",BIOTECH/PHARMA,116000.0000
"Bay Area",NONPROFITS,113333.3333
"Bay Area","PROPERTY OR CONSTRUCTION",108000.0000
"Bay Area","ENGINEERING OR MANUFACTURING",89500.0000
"Bay Area",INSURANCE,80000.0000
"Bay Area","TRANSPORT OR LOGISTICS",80000.0000
"Bay Area","EDUCATION (HIGHER EDUCATION)",79000.0000
"Bay Area","AGRICULTURE OR FORESTRY",74000.0000
"Bay Area","EDUCATION (PRIMARY/SECONDARY)",64000.0000
"Bay Area","FOOD MANUFACTURING",58240.0000
"Bay Area / Palo Alto","EDUCATION (HIGHER EDUCATION)",85000.0000
"Bay City","COMPUTING OR TECH",70000.0000
"Bay City","TRANSP ORT  OR LOGISTICS",54080.0000
"Bay City","EDUCATION (HIGHER EDUCATION)",45000.0000
"Bay City","HOSPITALITY & EVENTS",13000.0000
"Bay Of Plenty",INSURANCE,65000.0000
"Bay St. Louis","ENGINEERING OR MANUFACTURING",84000.0000
Beachwood,LAW,73000.0000
Beachwood,"EDUCATION (HIGHER EDUCATION)",50000.0000
Beachwood,"MEDIA & DIGITAL",48000.0000
Beacon,"MARKETING, ADVERTISING & PR",60000.0000
Beaufort,"COMPUTING OR TECH",93000.0000
Beaufort,"SOCIAL WORK",40000.0000
Beaumont,"ENGINEERING OR MANUFACTURING",100000.0000
Beaumont,"EDUCATION (HIGHER EDUCATION)",67250.0000
Beaumont,"GOVERNMENT AND PUBLIC ADMINISTRATION",65000.0000
Beaumont,INSURANCE,55000.0000
Beaumont,RETAIL,26100.0000
Beaverton,"GOVERNMENT AND PUBLIC ADMINISTRATION",120000.0000
Beaverton,OPERATIONS,110000.0000
Beaverton,"HOSPITALITY & EVENTS",104000.0000
Beaverton,"ART & DESIGN",93600.0000
Beaverton,"ACCOUNTING, BANKING & FINANCE",90000.0000
Beaverton,"COMPUTING OR TECH",83750.0000
Beaverton,"MARKETING, ADVERTISING & PR",73000.0000
Beaverton,"DATA BREACH",56410.0000
Beaverton,NONPROFITS,50500.0000
Beaverton,RETAIL,43130.0000
Bedford,"COMPUTING OR TECH",77500.0000
Bedford,"ENGINEERING OR MANUFACTURING",65152.0000
Bedford,INSURANCE,59800.0000
Bedford,NONPROFITS,40000.0000
Bedford,"PROPERTY OR CONSTRUCTION",37500.0000
"Bedford, Nh","PROPERTY OR CONSTRUCTION",90000.0000
"Bedford, Nh",RETAIL,21000.0000
Bedfordshire,"ACCOUNTING, BANKING & FINANCE",80000.0000
Bedminster,BIOTECH/PHARMA,175000.0000
Beijing,"COMPUTING OR TECH",38526.0000
Belfast,NONPROFITS,80500.0000
Belfast,"HEALTH CARE",56000.0000
Belfast,PHARMACEUTICAL,53000.0000
Belfast,ENVIRONMENTAL,42000.0000
Belfast,"GOVERNMENT AND PUBLIC ADMINISTRATION",37911.0000
Belfast,"MARKETING, ADVERTISING & PR",35000.0000
Belfast,"COMPUTING OR TECH",30513.0000
Belfast,"ACCOUNTING, BANKING & FINANCE",29000.0000
Belfast,"EDUCATION (HIGHER EDUCATION)",24500.0000
Belleville,"LAW ENFORCEMENT & SECURITY",104640.0000
Belleville,RETAIL,80000.0000
Bellevue,"COMPUTING OR TECH",126452.9412
Bellevue,"BUSINESS OR CONSULTING",122000.0000
Bellevue,"REAL ESTATE",120000.0000
Bellevue,"ART & DESIGN",115000.0000
Bellevue,ENTERTAINMENT,112500.0000
Bellevue,"UTILITIES & TELECOMMUNICATIONS",96635.0000
Bellevue,"RECRUITMENT OR HR",96500.0000
Bellevue,"MARKETING, ADVERTISING & PR",91500.0000
Bellevue,"GOVERNMENT & PUBLIC ADMINISTRATION",90000.0000
Bellevue,TELECOMMUNICATIONS,78894.0000
Bellevue,RETAIL,75110.0000
Bellevue,"HEALTH CARE",70000.0000
Bellevue,NONPROFITS,63428.0000
Bellevue,"ENGINEERING OR MANUFACTURING",62400.0000
Bellevue,"EDUCATION (HIGHER EDUCATION)",46750.0000
Bellevue,"CUSTOMER SERVICE",41600.0000
Bellevue,"PROPERTY OR CONSTRUCTION",40320.0000
Bellingham,"COMPUTING OR TECH",104525.0000
Bellingham,"GOVERNMENT AND PUBLIC ADMINISTRATION",93000.0000
Bellingham,"ACCOUNTING, BANKING & FINANCE",85000.0000
Bellingham,"EDUCATION (HIGHER EDUCATION)",80000.0000
Bellingham,NONPROFITS,59000.0000
Bellingham,"HEALTH CARE",49000.0000
Bellingham,"PROPERTY OR CONSTRUCTION",47840.0000
Bellingham,"HOSPITALITY & EVENTS",31200.0000
Belmont,"LANDSCAPING/TREE WORK",58240.0000
Belmont,"RELIGIOUS (CHURCH)",49500.0000
Belmont,"ACADEMIC RESEARCH (PSYCHOLOGY)",36883.0000
"Belo Horizonte","COMPUTING OR TECH",158600.0000
Beltsville,BIOTECH/PHARMACEUTICALS,90000.0000
Bemidji,LAW,95000.0000
Bemidji,"ENGINEERING OR MANUFACTURING",85000.0000
Bemidji,"HEALTH CARE",62400.0000
Bemidji,"ACCOUNTING, BANKING & FINANCE",34500.0000
Bend,"COMPUTING OR TECH",50000.0000
Bend,NONPROFITS,46960.0000
Bend,"REAL ESTATE: TITLE & ESCROW",38563.0000
"Bend, Or","PROJECT MANAGEMENT",77625.0000
Bennettsville,"EDUCATION (PRIMARY/SECONDARY)",70000.0000
Bennington,"EDUCATION (HIGHER EDUCATION)",123000.0000
Bennington,"COMPUTING OR TECH",120000.0000
Bennington,"ART & DESIGN",65000.0000
Bensenville,"PROPERTY OR CONSTRUCTION",60000.0000
Benton,"GOVERNMENT AND PUBLIC ADMINISTRATION",50000.0000
Benton,"AGRICULTURE OR FORESTRY",42000.0000
"Benton Harbor","ENGINEERING OR MANUFACTURING",128000.0000
"Benton Harbor","SALES OPERATIONS",96000.0000
Bentonville,RETAIL,117000.0000
Bentonville,"TRANSPORT OR LOGISTICS",111000.0000
Bentonville,UNKNOWN,98000.0000
Bentonville,"COMPUTING OR TECH",77229.5000
Bentonville,"EDUCATION (PRIMARY/SECONDARY)",51000.0000
Bentonville,"MEDIA & DIGITAL",47500.0000
Berea,"EDUCATION (HIGHER EDUCATION)",72500.0000
Bergen,"EDUCATION (HIGHER EDUCATION)",48000.0000
"Bergen County","ENGINEERING OR MANUFACTURING",134000.0000
"Bergen County",ENTERTAINMENT,118000.0000
"Bergen County",AUTOMOTIVE,97000.0000
"Bergen County","GOVERNMENT AND PUBLIC ADMINISTRATION",45427.0000
Berkeley,"GOVERNMENT AND PUBLIC ADMINISTRATION",147000.0000
Berkeley,"COMPUTING OR TECH",134723.6000
Berkeley,"HEALTH CARE",131000.0000
Berkeley,"PHARMACEUTICAL MANUFACTURING",114000.0000
Berkeley,NONPROFITS,111750.0000
Berkeley,"MARKETING, ADVERTISING & PR",91500.0000
Berkeley,"BUSINESS OR CONSULTING",87000.0000
Berkeley,"PROPERTY OR CONSTRUCTION",85000.0000
Berkeley,"MEDIA & DIGITAL",85000.0000
Berkeley,"GOVERNMENT & PUBLIC ADMINISTRATION",79800.0000
Berkeley,"LEISURE, SPORT & TOURISM",78000.0000
Berkeley,"EDUCATION (HIGHER EDUCATION)",65460.0000
Berkeley,"UNIVERSITY LIBRARIES",54000.0000
Berkeley,RETAIL,41000.0000
"Berkeley, Ca","GOVERNMENT AND PUBLIC ADMINISTRATION",76000.0000
Berkley,"MUSIC THERAPY",56000.0000
"Berkley Heights","RECRUITMENT OR HR",90000.0000
Berlin,"TRANSPORT OR LOGISTICS",140000.0000
Berlin,"MARKETING, ADVERTISING & PR",100000.0000
Berlin,PHARMACEUTICAL,82000.0000
Berlin,"COMPUTING OR TECH",80157.6923
Berlin,"HEALTH CARE",80000.0000
Berlin,NONPROFITS,75000.0000
Berlin,"EDUCATION (HIGHER EDUCATION)",71000.0000
Berlin,"ACCOUNTING, BANKING & FINANCE",70000.0000
Berlin,"MEDIA & DIGITAL",60950.0000
Berlin,"BUSINESS OR CONSULTING",53700.0000
Berlin,RETAIL,51535.0000
Berlin,"ENGINEERING OR MANUFACTURING",50693.3333
Berlin,"GOVERNMENT  & PUBLIC ADMINISTRATION",36000.0000
Berlin,"SOCIAL WORK",28800.0000
Berlin,ENTERTAINMENT,25700.0000
Berne,"HEALTH CARE",135000.0000
Berryville,"HEALTH CARE",38480.0000
Berwick,"BUSINESS OR CONSULTING",22880.0000
Berwyn,"GOVERNMENT AND PUBLIC ADMINISTRATION",60345.0000
Berwyn,"SOCIAL WORK",45000.0000
Bessemer,"MARKETING, ADVERTISING & PR",70000.0000
Betavia,"MARKETING, ADVERTISING & PR",43000.0000
Bethel,NONPROFITS,51000.0000
Bethesda,"HEALTH CARE",142700.0000
Bethesda,"HOSPITALITY & EVENTS",137000.0000
Bethesda,"COMPUTING OR TECH",129140.3333
Bethesda,"ACCOUNTING, BANKING & FINANCE",103000.0000
Bethesda,"GOVERNMENT AND PUBLIC ADMINISTRATION",98553.5000
Bethesda,LAW,90000.0000
Bethesda,"GOVERNMENT & PUBLIC ADMINISTRATION",87000.0000
Bethesda,"BUSINESS OR CONSULTING",82071.4286
Bethesda,"ENGINEERING OR MANUFACTURING",80000.0000
Bethesda,"GOVERNMENT  & PUBLIC ADMINISTRATION",78100.0000
Bethesda,NONPROFITS,73000.0000
Bethesda,"SCIENCE ACADEMIA",65000.0000
Bethesda,"SCIENTIFIC RESEARCH",63750.0000
Bethesda,"GOVERNMENT RELATIONS/LOBBYING",59000.0000
Bethesda,"EDUCATION (HIGHER EDUCATION)",41050.0000
Bethesda,"MEDIA & DIGITAL",61.0000
Bethesda,RETAIL,60.0000
"Bethesda Md","COMPUTING OR TECH",135000.0000
"Bethesda Md","GOVERNMENT & PUBLIC ADMINISTRATION",76000.0000
Bethlehem,"RECRUITMENT OR HR",147000.0000
Bethlehem,"UTILITIES & TELECOMMUNICATIONS",92700.0000
Bethlehem,"HEALTH CARE",69000.0000
Bethlehem,"ENGINEERING OR MANUFACTURING",66000.0000
Bethlehem,"EDUCATION (HIGHER EDUCATION)",65571.4286
Bethlehem,"MARKETING, ADVERTISING & PR",65000.0000
Bethlehem,"COMPUTING OR TECH",65000.0000
Bethlehem,NONPROFITS,50000.0000
"Bethlehem, Pa","UTILITIES & TELECOMMUNICATIONS",47090.0000
Bettendorf,"SOCIAL WORK",45150.0000
Beverly,"ENGINEERING OR MANUFACTURING",89000.0000
"Beverly Hills","HEALTH CARE",65000.0000
"Beverly Hills",RETAIL,44200.0000
"Beverly Hills, Ca",NONPROFITS,45760.0000
Biddeford,"EDUCATION (HIGHER EDUCATION)",42000.0000
Biddeford,RETAIL,36400.0000
"Big Bear City","GOVERNMENT AND PUBLIC ADMINISTRATION",185700.0000
Bigfork,"ACCOUNTING, BANKING & FINANCE",62088.0000
Bilbao,"BUSINESS OR CONSULTING",51.0000
Billingham,PHARMACEUTICALS,38600.0000
Billings,"HEALTH CARE",172000.0000
Billings,"GOVERNMENT AND PUBLIC ADMINISTRATION",53040.0000
Billings,"MARKETING, ADVERTISING & PR",45000.0000
Billings,"ENVIRONMENTAL SCIENCES",42000.0000
Billings,"ACCOUNTING, BANKING & FINANCE",34840.0000
Biloxi,MILITARY,46000.0000
Binghamton,"EDUCATION (PRIMARY/SECONDARY)",63000.0000
Binghamton,"EDUCATION (HIGHER EDUCATION)",57500.0000
Binghamton,"MARKETING, ADVERTISING & PR",43780.0000
Binghamton,"GOVERNMENT & PUBLIC ADMINISTRATION",35580.0000
Birm,RETAIL,66000.0000
Birmingham,LAW,103600.0000
Birmingham,"ACCOUNTING, BANKING & FINANCE",75988.8889
Birmingham,"COMPUTING OR TECH",62924.6667
Birmingham,"BUSINESS OR CONSULTING",59000.0000
Birmingham,"DATA ANALYTICS",55000.0000
Birmingham,"ENGINEERING OR MANUFACTURING",54600.0000
Birmingham,"HEALTH CARE",50336.0000
Birmingham,"MARKETING, ADVERTISING & PR",48625.0000
Birmingham,"PROPERTY OR CONSTRUCTION",46801.5000
Birmingham,"EDUCATION (HIGHER EDUCATION)",46660.6923
Birmingham,RETAIL,44666.6667
Birmingham,"STEM MEDICAL RESEARCH",40000.0000
Birmingham,"TRANSPORT OR LOGISTICS",39500.0000
Birmingham,"GOVERNMENT & PUBLIC ADMINISTRATION",39000.0000
Birmingham,INSURANCE,38550.0000
Birmingham,NONPROFITS,37998.6667
Birmingham,"ACADEMIC SCIENTIFIC RESEARCH",35600.0000
Birmingham,"MEDIA & DIGITAL",33541.0000
Birmingham,"UTILITIES & TELECOMMUNICATIONS",33500.0000
Birmingham,"GOVERNMENT AND PUBLIC ADMINISTRATION",32250.0000
Birmingham,EDTECH,27000.0000
Birmingham,"GOVERNMENT  & PUBLIC ADMINISTRATION",26350.0000
"Birmingham Uk","COMPUTING OR TECH",156000.0000
"Birmingham Uk",ENTERTAINMENT,24321.0000
"Birmingham, Al","HEALTH CARE",78000.0000
"Birmingham, Al",NONPROFITS,71000.0000
"Birmingham, Al","MARKETING, ADVERTISING & PR",55000.0000
"Birmingham, England","COMPUTING OR TECH",37000.0000
"Birmingham, England","EDUCATION (PRIMARY/SECONDARY)",23541.0000
"Birmingham, England","HEALTH CARE",18642.0000
"Birmingham, Uk","ACCOUNTING, BANKING & FINANCE",48000.0000
Bishop,"HEALTH CARE",118268.0000
Bishop,"ENGINEERING OR MANUFACTURING",74000.0000
Bismarck,ENVIRONMENTAL,87880.0000
Bismarck,"HEALTH CARE",72000.0000
Bismarck,"GOVERNMENT AND PUBLIC ADMINISTRATION",61032.0000
Blackpool,"EDUCATION (PRIMARY/SECONDARY)",44000.0000
Blackpool,"TRANSPORT OR LOGISTICS",20800.0000
Blacksburg,"COMPUTING OR TECH",160000.0000
Blacksburg,"HEALTH CARE",80000.0000
Blacksburg,"EDUCATION (HIGHER EDUCATION)",50333.3333
Blacksburg,"HOSPITALITY & EVENTS",35000.0000
Blaine,"ENGINEERING OR MANUFACTURING",85000.0000
Blaine,"SOCIAL WORK",72000.0000
Blaine,"ACCOUNTING, BANKING & FINANCE",60000.0000
Blank,"HEALTH CARE",72000.0000
Bloomfield,"BUSINESS OR CONSULTING",70000.0000
Bloomfield,NONPROFITS,50000.0000
"Bloomfield Hills",ARCHITECTURE,53000.0000
"Bloomfield Hills","ART & DESIGN",36000.0000
"Bloomfield Hills","BUSINESS OR CONSULTING",55.0000
"Blooming Prairie","ENGINEERING OR MANUFACTURING",42500.0000
Bloomington,ENTERTAINMENT,111300.0000
Bloomington,ARCHITECT,96000.0000
Bloomington,"GOVERNMENT AND PUBLIC ADMINISTRATION",91000.0000
Bloomington,INSURANCE,86540.1429
Bloomington,RETAIL,86000.0000
Bloomington,"ACCOUNTING, BANKING & FINANCE",85000.0000
Bloomington,"COMPUTING OR TECH",80500.0000
Bloomington,"GOVERNMENT & PUBLIC ADMINISTRATION",76500.0000
Bloomington,NONPROFITS,75000.0000
Bloomington,"HEALTH CARE",72873.8000
Bloomington,"UTILITIES & TELECOMMUNICATIONS",71000.0000
Bloomington,LIBRARY,70000.0000
