Industry,Gender,Highest_Education,Average_Salary
"DATA BREACH",Man,"Some College",56410.0000
"DATA ENTRY",Woman,"Some College",31000.0000
"DATA/INSTITUTIONAL RESEARCH IN HIGHER EDUCATION",Woman,"College Degree",57211.0000
"DATABASE SUBSCRIPTION SERVICES",Woman,"Some College",100000.0000
"DAYCARE FOR CHILDREN UNDER 5 YEARS OLD",Woman,"College Degree",10000.0000
DEFENSE,Man,"College Degree",71000.0000
DEFENSE,Woman,"College Degree",172000.0000
DEFENSE,Woman,"High School",33000.0000
DEFENSE,Woman,"Master'S Degree",129666.6667
DEFENSE,Woman,PH.D.,86953.0000
"DEFENSE CONTRACTING",Woman,"College Degree",96750.0000
"DEFENSE CONTRACTING",Woman,"Master'S Degree",115000.0000
"DEFENSE CONTRACTOR",Woman,"Master'S Degree",69000.0000
"DELIVERY AND INSTALLATION FOR COMMERCIAL MACHINERY",Man,"Some College",30000.0000
"DIAGNOSTIC MEDICAL DEVICES",Man,"Master'S Degree",68000.0000
DIGITAL,Woman,"College Degree",42860.0000
"DIGITAL COMMERCE / ECOMMERCE",Man,"College Degree",100000.0000
"DIGITAL MARKETING",Woman,"College Degree",76700.0000
"DIGITAL MARKETING WITHIN A BOOK PUBLISHING COMPANY (PLEASE RECLASSIFY AS YOU SEE FIT)",Woman,"College Degree",50000.0000
"DIRECT SUPPORT  PROFESSIONAL  IN A GROUP  HOME",Man,"College Degree",32280.0000
"DISABILITY SERVICES",Woman,"High School",42000.0000
DISTRIBUTION,Woman,"College Degree",95000.0000
DISTRIBUTION,Woman,"Master'S Degree",128000.0000
DISTRIBUTION,Woman,"Some College",101000.0000
"DIVERSITY, EQUITY & INCLUSION",Woman,"College Degree",140000.0000
"DOD CONTRACTING",Woman,"College Degree",93000.0000
"DRUG DEVELOPMENT",Man,"Master'S Degree",147000.0000
"E COMMERCE",Woman,"College Degree",42000.0000
E-COMM,Woman,"College Degree",115000.0000
E-COMMERCE,Woman,"College Degree",64000.0000
E-COMMERCE,Woman,"Master'S Degree",50083.3333
E-COMMERCE,Woman,"Professional Degree (MD, Jd, Etc.)",50000.0000
E-LEARNING,Woman,"Master'S Degree",47000.0000
EAP,Woman,"College Degree",73000.0000
"EARLY CHILDHOOD EDUCATION",Woman,"College Degree",36000.0000
"EARLY CHILDHOOD EDUCATION",Woman,"Master'S Degree",117500.0000
"EARLY CHILDHOOD EDUCATION (PRESCHOOL)",Woman,"Master'S Degree",106000.0000
"EARLY EDUCATION","Other/Prefer not to answer","College Degree",40000.0000
"EARLY EDUCATION (CORPORATE OFFICE)",Woman,"College Degree",52000.0000
"EARTH SCIENCES",Woman,"Master'S Degree",75000.0000
ECOLOGY,Woman,"Master'S Degree",54000.0000
ECOMMERCE,Woman,"College Degree",83920.0000
"ECOMMERCE - TECHNOLOGY",Man,"College Degree",125000.0000
"ECOMMERCE FRAUD",Woman,"College Degree",120000.0000
ECONOMICS,Woman,PH.D.,138000.0000
"ED TECH",Woman,"College Degree",82500.0000
"EDITOR IN EDUCATIONAL PUBLISHING",Woman,"Some College",49000.0000
EDTECH,Woman,"College Degree",58500.0000
"EDUC TECH",Woman,"Some College",42000.0000
"EDUCATION (EARLY CHILDHOOD EDUCATION)",Woman,"College Degree",62400.0000
"EDUCATION (EARLY CHILDHOOD)",Woman,"College Degree",60000.0000
"EDUCATION (HIGHER EDUCATION)",Man,"College Degree",66791.3404
"EDUCATION (HIGHER EDUCATION)",Man,"High School",58250.0000
"EDUCATION (HIGHER EDUCATION)",Man,"Master'S Degree",66814.5462
"EDUCATION (HIGHER EDUCATION)",Man,PH.D.,92007.4259
"EDUCATION (HIGHER EDUCATION)",Man,"Professional Degree (MD, Jd, Etc.)",95600.0000
"EDUCATION (HIGHER EDUCATION)",Man,"Some College",60106.7692
"EDUCATION (HIGHER EDUCATION)",Non-binary,"College Degree",55868.5625
"EDUCATION (HIGHER EDUCATION)",Non-binary,"High School",48000.0000
"EDUCATION (HIGHER EDUCATION)",Non-binary,"Master'S Degree",55901.2927
"EDUCATION (HIGHER EDUCATION)",Non-binary,PH.D.,57587.5556
"EDUCATION (HIGHER EDUCATION)",Non-binary,"Professional Degree (MD, Jd, Etc.)",46000.0000
"EDUCATION (HIGHER EDUCATION)",Non-binary,"Some College",46000.0000
"EDUCATION (HIGHER EDUCATION)","Other/Prefer not to answer","College Degree",54581.7000
"EDUCATION (HIGHER EDUCATION)","Other/Prefer not to answer","Master'S Degree",59775.4500
"EDUCATION (HIGHER EDUCATION)","Other/Prefer not to answer",PH.D.,77232.6154
"EDUCATION (HIGHER EDUCATION)","Other/Prefer not to answer","Professional Degree (MD, Jd, Etc.)",65386.0000
"EDUCATION (HIGHER EDUCATION)",Woman,"College Degree",58407.7332
"EDUCATION (HIGHER EDUCATION)",Woman,"High School",50080.0000
"EDUCATION (HIGHER EDUCATION)",Woman,"Master'S Degree",65284.1902
"EDUCATION (HIGHER EDUCATION)",Woman,PH.D.,77785.3956
"EDUCATION (HIGHER EDUCATION)",Woman,"Professional Degree (MD, Jd, Etc.)",85924.3889
"EDUCATION (HIGHER EDUCATION)",Woman,"Some College",53873.4595
"EDUCATION (OTHER)",Non-binary,"Master'S Degree",70270.0000
"EDUCATION (PRIMARY/SECONDARY)",Man,"College Degree",50225.5200
"EDUCATION (PRIMARY/SECONDARY)",Man,"Master'S Degree",68810.8788
"EDUCATION (PRIMARY/SECONDARY)",Man,PH.D.,46750.0000
"EDUCATION (PRIMARY/SECONDARY)",Man,"Professional Degree (MD, Jd, Etc.)",48000.0000
"EDUCATION (PRIMARY/SECONDARY)",Man,"Some College",38194.5000
"EDUCATION (PRIMARY/SECONDARY)",Non-binary,"College Degree",50091.1111
"EDUCATION (PRIMARY/SECONDARY)",Non-binary,"Master'S Degree",63884.3333
"EDUCATION (PRIMARY/SECONDARY)",Non-binary,"Professional Degree (MD, Jd, Etc.)",69719.0000
"EDUCATION (PRIMARY/SECONDARY)","Other/Prefer not to answer","Master'S Degree",70600.0000
"EDUCATION (PRIMARY/SECONDARY)",Woman,"College Degree",51284.2066
"EDUCATION (PRIMARY/SECONDARY)",Woman,"High School",68403.2000
"EDUCATION (PRIMARY/SECONDARY)",Woman,"Master'S Degree",67147.9287
"EDUCATION (PRIMARY/SECONDARY)",Woman,PH.D.,81100.0000
"EDUCATION (PRIMARY/SECONDARY)",Woman,"Professional Degree (MD, Jd, Etc.)",67643.2500
"EDUCATION (PRIMARY/SECONDARY)",Woman,"Some College",46822.2632
"EDUCATION CONSULTING",Woman,"Professional Degree (MD, Jd, Etc.)",118000.0000
"EDUCATION PUBLISHING",Woman,"College Degree",52500.0000
"EDUCATION RESEARCH- MIX OF EDTECH & NON PROFITS",Woman,PH.D.,140000.0000
"EDUCATION SERVICE PROVIDER",Woman,"Master'S Degree",116000.0000
"EDUCATION SERVICES (TUTORING)",Man,"Master'S Degree",100000.0000
"EDUCATION START-UP",Woman,"College Degree",93600.0000
"EDUCATION WRITING",Woman,"College Degree",48500.0000
"EDUCATION- MUSEUM/PUBLIC OUTREACH",Woman,"Master'S Degree",84000.0000
"EDUCATION: PRESCHOOL",Woman,"Professional Degree (MD, Jd, Etc.)",100000.0000
EDUCATION/VOCATIONAL,Man,"College Degree",100000.0000
"EDUCATIONAL ASSESSMENT",Woman,"Master'S Degree",74000.0000
"EDUCATIONAL PRODUCTS",Woman,"Master'S Degree",42000.0000
"EDUCATIONAL PUBLISHING",Man,"Some College",90000.0000
"EDUCATIONAL PUBLISHING",Woman,"College Degree",74500.0000
"EDUCATIONAL PUBLISHING / ED TECH",Man,PH.D.,124000.0000
"EDUCATIONAL RESEARCH",Woman,"College Degree",56000.0000
"EDUCATIONAL TECHNOLOGY",Woman,"Master'S Degree",79000.0000
"EDUCATIONAL TECHNOLOGY - HYBRID BETWEEN BOOK PUBLISHING AND TECHNOLOGY REALLY",Woman,"College Degree",67000.0000
"EMERGENCY MANAGEMENT",Woman,"Master'S Degree",76000.0000
ENERGY,Man,"Master'S Degree",132999.0000
ENERGY,Man,"Professional Degree (MD, Jd, Etc.)",185000.0000
ENERGY,Man,"Some College",107000.0000
ENERGY,Woman,"College Degree",97583.3333
ENERGY,Woman,"Master'S Degree",173000.0000
ENERGY,Woman,"Professional Degree (MD, Jd, Etc.)",148000.0000
"ENERGY - OIL AND GAS",Woman,"Master'S Degree",150000.0000
"ENERGY (OIL & GAS)",Man,"Some College",120000.0000
"ENERGY SECTOR: OIL & GAS",Man,"High School",47000.0000
"ENERGY SUPPLIER",Woman,"Master'S Degree",73000.0000
"ENERGY, OIL & GAS",Woman,"Master'S Degree",130000.0000
"ENERGY, OIL AND GAS",Woman,"College Degree",125000.0000
"ENERGY: OIL & GAS",Man,PH.D.,75000.0000
ENERGY/OIL,Woman,"Some College",62000.0000
"ENGINEERING  OR MANUFACTURING",Man,"College Degree",85000.0000
"ENGINEERING  OR MANUFACTURING",Man,"Master'S Degree",93000.0000
"ENGINEERING  OR MANUFACTURING",Man,PH.D.,126000.0000
"ENGINEERING  OR MANUFACTURING",Woman,"College Degree",66494.2727
"ENGINEERING  OR MANUFACTURING",Woman,"Master'S Degree",114500.0000
"ENGINEERING  OR MANUFACTURING",Woman,"Some College",41212.6667
"ENGINEERING - MINING",Man,"College Degree",127000.0000
"ENGINEERING AND ENVIRONMENTAL CONSULTING",Woman,"Master'S Degree",75000.0000
"ENGINEERING OR MANUFACTURING",Man,"College Degree",92554.2155
"ENGINEERING OR MANUFACTURING",Man,"High School",72853.1765
"ENGINEERING OR MANUFACTURING",Man,"Master'S Degree",102331.5474
"ENGINEERING OR MANUFACTURING",Man,PH.D.,125628.0000
"ENGINEERING OR MANUFACTURING",Man,"Professional Degree (MD, Jd, Etc.)",90974.6667
"ENGINEERING OR MANUFACTURING",Man,"Some College",77025.0000
"ENGINEERING OR MANUFACTURING",Non-binary,"College Degree",82533.4375
"ENGINEERING OR MANUFACTURING",Non-binary,"Master'S Degree",78466.6667
"ENGINEERING OR MANUFACTURING",Non-binary,PH.D.,62500.0000
"ENGINEERING OR MANUFACTURING",Non-binary,"Some College",36594.0000
"ENGINEERING OR MANUFACTURING","Other/Prefer not to answer","College Degree",94504.4000
"ENGINEERING OR MANUFACTURING","Other/Prefer not to answer","High School",44184.0000
"ENGINEERING OR MANUFACTURING","Other/Prefer not to answer","Master'S Degree",77254.5455
"ENGINEERING OR MANUFACTURING","Other/Prefer not to answer",PH.D.,144000.0000
"ENGINEERING OR MANUFACTURING",Woman,"College Degree",85959.5111
"ENGINEERING OR MANUFACTURING",Woman,"High School",55888.4167
"ENGINEERING OR MANUFACTURING",Woman,"Master'S Degree",98134.0028
"ENGINEERING OR MANUFACTURING",Woman,PH.D.,107338.9483
"ENGINEERING OR MANUFACTURING",Woman,"Professional Degree (MD, Jd, Etc.)",115000.0000
"ENGINEERING OR MANUFACTURING",Woman,"Some College",58405.4444
ENTERTAINMENT,Man,"College Degree",87314.1379
ENTERTAINMENT,Man,"High School",24960.0000
ENTERTAINMENT,Man,"Master'S Degree",94672.7273
ENTERTAINMENT,Man,"Some College",66190.0000
ENTERTAINMENT,Non-binary,"College Degree",60800.0000
ENTERTAINMENT,Non-binary,"High School",23100.0000
ENTERTAINMENT,Non-binary,"Master'S Degree",38400.0000
ENTERTAINMENT,Non-binary,"Some College",21000.0000
ENTERTAINMENT,"Other/Prefer not to answer","College Degree",67421.6667
ENTERTAINMENT,"Other/Prefer not to answer","Professional Degree (MD, Jd, Etc.)",175000.0000
ENTERTAINMENT,Woman,"College Degree",72960.9515
ENTERTAINMENT,Woman,"High School",63500.0000
ENTERTAINMENT,Woman,"Master'S Degree",75698.1471
ENTERTAINMENT,Woman,PH.D.,104500.0000
ENTERTAINMENT,Woman,"Professional Degree (MD, Jd, Etc.)",119500.0000
ENTERTAINMENT,Woman,"Some College",90736.3636
"ENTERTAINMENT DATA",Non-binary,"College Degree",52000.0000
"ENTREPRENEUR HIGH NET WORTH",Woman,"High School",46000.0000
"ENV. CONSULTING",Man,"College Degree",60000.0000
ENVIROMENTAL,Man,"College Degree",72000.0000
ENVIRONMENT,Man,"College Degree",46000.0000
ENVIRONMENT,Woman,PH.D.,45000.0000
"ENVIRONMENT - OIL  & GAS",Woman,"College Degree",124800.0000
"ENVIRONMENT AND SUSTAINABILITY",Woman,"Master'S Degree",27000.0000
"ENVIRONMENT, HEALTH, AND SAFETY",Woman,"College Degree",70000.0000
ENVIRONMENTAL,Man,"College Degree",75550.0000
ENVIRONMENTAL,Man,"Master'S Degree",67750.0000
ENVIRONMENTAL,Woman,"College Degree",46296.0000
ENVIRONMENTAL,Woman,"High School",47840.0000
ENVIRONMENTAL,Woman,"Master'S Degree",74626.6667
"ENVIRONMENTAL COMPLIANCE",Woman,"College Degree",40000.0000
"ENVIRONMENTAL COMPLIANCE",Woman,"Master'S Degree",81000.0000
"ENVIRONMENTAL COMPLIANCE/ENGINEERING",Woman,"Master'S Degree",87460.0000
"ENVIRONMENTAL CONSULTANTING",Woman,"College Degree",40200.0000
"ENVIRONMENTAL CONSULTING",Man,"College Degree",38000.0000
"ENVIRONMENTAL CONSULTING",Man,"Master'S Degree",132000.0000
"ENVIRONMENTAL CONSULTING","Other/Prefer not to answer","Master'S Degree",89000.0000
"ENVIRONMENTAL CONSULTING",Woman,"College Degree",70640.0000
"ENVIRONMENTAL CONSULTING",Woman,"Master'S Degree",58575.0000
"ENVIRONMENTAL CONSULTING",Woman,PH.D.,94333.3333
"ENVIRONMENTAL HEALTH  & SAFETY COMPLIANCE",Woman,"Some College",48000.0000
"ENVIRONMENTAL HEALTH + PEST CONTROL",Woman,"College Degree",57900.0000
"ENVIRONMENTAL HEALTH AND SAFETY",Man,"College Degree",46000.0000
"ENVIRONMENTAL HEALTH AND SAFETY",Woman,"Master'S Degree",52000.0000
"ENVIRONMENTAL PLANNING",Woman,"College Degree",77500.0000
"ENVIRONMENTAL REGULATION",Woman,"Master'S Degree",58.0000
"ENVIRONMENTAL RESTORATION",Woman,"College Degree",61050.0000
"ENVIRONMENTAL SCIENCE",Man,"College Degree",70000.0000
"ENVIRONMENTAL SCIENCE",Woman,"College Degree",65000.0000
"ENVIRONMENTAL SCIENCE",Woman,"Master'S Degree",84000.0000
"ENVIRONMENTAL SCIENCES",Woman,"College Degree",68000.0000
"ENVIRONMENTAL SCIENCES",Woman,"Some College",42000.0000
"ENVIRONMENTAL SERVICES",Woman,"Master'S Degree",62500.0000
"ENVIRONMENTAL SURVEY",Woman,PH.D.,52000.0000
"ENVIRONMENTAL/CULTURAL RESOURCE MANAGEMENT",Woman,"Master'S Degree",48500.0000
ENVIRONMNETAL,Woman,"College Degree",43000.0000
"EXECUTIVE LEADERSHIP SERVIS",Woman,"College Degree",88000.0000
"EXECUTIVE SEARCH",Woman,"College Degree",90000.0000
"EXECUTIVE SEARCH",Woman,"Master'S Degree",95000.0000
FACILITIES,Woman,"College Degree",39000.0000
FACILITIES,Woman,"Master'S Degree",65000.0000
FAITH/SPIRITUALITY,Woman,"Master'S Degree",72000.0000
"FAMILY OFFICE",Woman,"College Degree",122500.0000
FASHION,Woman,"College Degree",90000.0000
FASHION/E-COMMERCE,Woman,"College Degree",58500.0000
"FAST CASUAL RESTAURANT",Non-binary,"College Degree",38188.0000
"FAST FOOD","Other/Prefer not to answer","High School",31200.0000
"FAST FOOD",Woman,"College Degree",29120.0000
"FEDERAL CONTRACTING/BUSINESS DEVELOPMENT",Man,"College Degree",70000.0000
"FEDERAL GOVERNMENT CONTRACTING",Woman,"Master'S Degree",125500.0000
"FILM POST-PRODUCTION",Man,"College Degree",95000.0000
FINANCE,Woman,"College Degree",100666.6667
FINANCE,Woman,"Master'S Degree",130000.0000
FINANCE,Woman,"Professional Degree (MD, Jd, Etc.)",129000.0000
"FINANCE/INVESTMENT MANAGEMENT BUT IN LEGAL/COMPLIANCE, SO BACK-OFFICE",Woman,"College Degree",125000.0000
FINTECH,Woman,"College Degree",103750.0000
FINTECH,Woman,"Master'S Degree",110000.0000
"FINTECH/PAYMENT PROCESSING",Woman,"College Degree",58500.0000
"FIRE PROTECTION",Woman,"College Degree",70000.0000
FITNESS,Woman,"College Degree",48916.6667
"FITNESS & ENTERTAINMENT",Woman,PH.D.,75000.0000
FMCG,Woman,"Master'S Degree",75000.0000
"FMCG DEVELOPMENT",Man,"Master'S Degree",32524.0000
FOOD,Man,"Some College",37440.0000
FOOD,Woman,"College Degree",33000.0000
FOOD,Woman,"Master'S Degree",47000.0000
FOOD,Woman,"Some College",130000.0000
"FOOD & BEVERAGE",Man,"Master'S Degree",113500.0000
"FOOD & BEVERAGE",Woman,"College Degree",67000.0000
"FOOD & BEVERAGE PRODUCTION",Man,"Some College",90000.0000
"FOOD & BEVERAGES",Woman,"Master'S Degree",55000.0000
"FOOD & NUTRITION","Other/Prefer not to answer","College Degree",105000.0000
"FOOD AND BEVERAGE",Man,"Master'S Degree",20000.0000
"FOOD AND BEVERAGE",Woman,"Master'S Degree",100000.0000
"FOOD AND DRINK",Woman,"College Degree",20287.0000
"FOOD AND FLAVOR",Woman,"Master'S Degree",104000.0000
"FOOD DEMOS",Woman,"College Degree",27000.0000
"FOOD DISTRIBUTION",Woman,"College Degree",50960.0000
"FOOD DISTRIBUTION",Woman,"Master'S Degree",45000.0000
"FOOD INDUSTRY",Man,"College Degree",68000.0000
"FOOD INDUSTRY",Woman,"College Degree",60000.0000
"FOOD INDUSTRY",Woman,PH.D.,85000.0000
"FOOD MANUFACTURE",Man,PH.D.,63000.0000
"FOOD MANUFACTURERS",Woman,"College Degree",22000.0000
"FOOD MANUFACTURING",Woman,"College Degree",70000.0000
"FOOD MANUFACTURING",Woman,"Master'S Degree",58240.0000
"FOOD MANUFACTURING",Woman,"Some College",47000.0000
"FOOD PROCESSING",Woman,"College Degree",62000.0000
"FOOD PROCESSING",Woman,"Some College",80000.0000
"FOOD PROCESSING AND PACKAGING",Woman,"College Degree",84000.0000
"FOOD PRODUCTION",Woman,"College Degree",62840.0000
"FOOD PRODUCTION/PROCESSING",Woman,"Some College",29000.0000
"FOOD SERVICE",Man,"Some College",47000.0000
"FOOD SERVICE",Non-binary,"College Degree",22880.0000
"FOOD SERVICE",Non-binary,"Some College",20800.0000
"FOOD SERVICE","Other/Prefer not to answer","Some College",21000.0000
"FOOD SERVICE",Woman,"College Degree",29224.0000
"FOOD SERVICE --- BAKING",Woman,"Some College",35350.0000
"FOOD/BEVERAGE MANUFACTURING- QUALITY/LABORATORY",Woman,"College Degree",52500.0000
"FOOD/QUICK SERVICE RESTAURANT (QSR)",Man,"College Degree",110000.0000
FOODSERVICE,Woman,"College Degree",115000.0000
"FOR PROFIT EDUCATION",Woman,"College Degree",66000.0000
FORENSICS,Woman,"College Degree",65000.0000
"FORKLIFT OPERATOR WAREHOUSE",Man,"High School",40560.0000
"FREELANCE JOURNALISM",Man,"College Degree",12000.0000
"FREELANCE/SELF-EMPLOYED CONSULTANT",Man,"College Degree",120000.0000
"FUNDING INTERMEDIARY",Woman,"High School",115000.0000
FUNDRAISING,Woman,"College Degree",67500.0000
FUNDRAISING,Woman,"Master'S Degree",125000.0000
"FUNDRAISING FOR A UNIVERSITY",Woman,"Master'S Degree",100440.0000
"FUNDRAISING IN HIGHER EDUCATION; NONCLINICAL, NONACADEMIC","Other/Prefer not to answer","Some College",44000.0000
FUNERAL,Woman,"Some College",56500.0000
"FUNERAL SERVICE",Woman,"College Degree",36000.0000
"FUNERAL SERVICE",Woman,"Some College",33280.0000
"FUNERAL SERVICES",Woman,"Master'S Degree",58642.0000
GAMBLING,Woman,"College Degree",66820.0000
"GAME DEVELOPMENT",Woman,"College Degree",83000.0000
"GAME DEVELOPMENT",Woman,"Master'S Degree",110000.0000
"GAMES DEVELOPMENT",Woman,"Master'S Degree",48000.0000
GAMING,Non-binary,"College Degree",140000.0000
GAMING,Woman,"College Degree",68500.0000
"GAMING (GAMBLING)",Man,"Master'S Degree",72000.0000
"GAS & OIL",Woman,"College Degree",75000.0000
GEOSPATIAL,Man,"Master'S Degree",88007.0000
"GLOBAL HEALTH CONSULTING",Woman,"Master'S Degree",140000.0000
"GLOBAL MOBILITY",Woman,"College Degree",57500.0000
GOVERNMENT,Woman,"Master'S Degree",70000.0000
"GOVERNMENT  & PUBLIC ADMINISTRATION",Man,"College Degree",79869.0000
"GOVERNMENT  & PUBLIC ADMINISTRATION",Man,"Master'S Degree",95420.0000
"GOVERNMENT  & PUBLIC ADMINISTRATION",Man,PH.D.,148891.0000
"GOVERNMENT  & PUBLIC ADMINISTRATION",Man,"Professional Degree (MD, Jd, Etc.)",86400.0000
"GOVERNMENT  & PUBLIC ADMINISTRATION",Man,"Some College",30026.0000
"GOVERNMENT  & PUBLIC ADMINISTRATION",Non-binary,"College Degree",84000.0000
"GOVERNMENT  & PUBLIC ADMINISTRATION",Non-binary,"Master'S Degree",51600.0000
"GOVERNMENT  & PUBLIC ADMINISTRATION",Non-binary,"Professional Degree (MD, Jd, Etc.)",76350.0000
"GOVERNMENT  & PUBLIC ADMINISTRATION",Non-binary,"Some College",52000.0000
"GOVERNMENT  & PUBLIC ADMINISTRATION","Other/Prefer not to answer","College Degree",73500.0000
"GOVERNMENT  & PUBLIC ADMINISTRATION","Other/Prefer not to answer","Master'S Degree",91000.0000
"GOVERNMENT  & PUBLIC ADMINISTRATION","Other/Prefer not to answer",PH.D.,123000.0000
"GOVERNMENT  & PUBLIC ADMINISTRATION",Woman,"College Degree",71125.8065
"GOVERNMENT  & PUBLIC ADMINISTRATION",Woman,"High School",26350.0000
"GOVERNMENT  & PUBLIC ADMINISTRATION",Woman,"Master'S Degree",84773.3750
"GOVERNMENT  & PUBLIC ADMINISTRATION",Woman,PH.D.,90729.5455
"GOVERNMENT  & PUBLIC ADMINISTRATION",Woman,"Professional Degree (MD, Jd, Etc.)",101403.7222
"GOVERNMENT  & PUBLIC ADMINISTRATION",Woman,"Some College",59393.3077
"GOVERNMENT & PUBLIC ADMINISTRATION",Man,"College Degree",53400.0000
"GOVERNMENT & PUBLIC ADMINISTRATION",Man,"High School",107000.0000
"GOVERNMENT & PUBLIC ADMINISTRATION",Man,"Master'S Degree",85372.5000
"GOVERNMENT & PUBLIC ADMINISTRATION",Man,PH.D.,86000.0000
"GOVERNMENT & PUBLIC ADMINISTRATION",Man,"Professional Degree (MD, Jd, Etc.)",67666.6667
"GOVERNMENT & PUBLIC ADMINISTRATION",Man,"Some College",41433.3333
"GOVERNMENT & PUBLIC ADMINISTRATION",Non-binary,"College Degree",31808.0000
"GOVERNMENT & PUBLIC ADMINISTRATION",Non-binary,"Master'S Degree",56475.0000
"GOVERNMENT & PUBLIC ADMINISTRATION",Non-binary,"Some College",88000.0000
"GOVERNMENT & PUBLIC ADMINISTRATION","Other/Prefer not to answer","College Degree",118550.0000
"GOVERNMENT & PUBLIC ADMINISTRATION","Other/Prefer not to answer","Master'S Degree",105750.0000
"GOVERNMENT & PUBLIC ADMINISTRATION",Woman,"College Degree",73677.3276
"GOVERNMENT & PUBLIC ADMINISTRATION",Woman,"High School",67333.3333
"GOVERNMENT & PUBLIC ADMINISTRATION",Woman,"Master'S Degree",78294.9889
"GOVERNMENT & PUBLIC ADMINISTRATION",Woman,PH.D.,82218.2778
"GOVERNMENT & PUBLIC ADMINISTRATION",Woman,"Professional Degree (MD, Jd, Etc.)",77657.8571
"GOVERNMENT & PUBLIC ADMINISTRATION",Woman,"Some College",65283.4286
"GOVERNMENT &PUBLIC ADMINISTRATION",Man,"College Degree",63184.0000
"GOVERNMENT &PUBLIC ADMINISTRATION",Non-binary,"College Degree",31000.0000
"GOVERNMENT &PUBLIC ADMINISTRATION",Non-binary,"Master'S Degree",54000.0000
"GOVERNMENT &PUBLIC ADMINISTRATION",Woman,"College Degree",48036.0000
"GOVERNMENT &PUBLIC ADMINISTRATION",Woman,"Master'S Degree",82433.8182
"GOVERNMENT AFFAIRS/LOBBYING",Woman,"Master'S Degree",130000.0000
"GOVERNMENT AND PUBLIC ADMINISTRATION",Man,"College Degree",77295.7727
"GOVERNMENT AND PUBLIC ADMINISTRATION",Man,"High School",100171.4286
"GOVERNMENT AND PUBLIC ADMINISTRATION",Man,"Master'S Degree",93380.0482
"GOVERNMENT AND PUBLIC ADMINISTRATION",Man,PH.D.,99666.6667
"GOVERNMENT AND PUBLIC ADMINISTRATION",Man,"Professional Degree (MD, Jd, Etc.)",114798.0000
"GOVERNMENT AND PUBLIC ADMINISTRATION",Man,"Some College",80216.8000
"GOVERNMENT AND PUBLIC ADMINISTRATION",Non-binary,"College Degree",50215.9231
"GOVERNMENT AND PUBLIC ADMINISTRATION",Non-binary,"High School",33000.0000
"GOVERNMENT AND PUBLIC ADMINISTRATION",Non-binary,"Master'S Degree",68722.2222
"GOVERNMENT AND PUBLIC ADMINISTRATION",Non-binary,PH.D.,92200.0000
"GOVERNMENT AND PUBLIC ADMINISTRATION",Non-binary,"Professional Degree (MD, Jd, Etc.)",80000.0000
"GOVERNMENT AND PUBLIC ADMINISTRATION",Non-binary,"Some College",32722.5000
"GOVERNMENT AND PUBLIC ADMINISTRATION","Other/Prefer not to answer","College Degree",58800.8750
"GOVERNMENT AND PUBLIC ADMINISTRATION","Other/Prefer not to answer","Master'S Degree",82131.5000
"GOVERNMENT AND PUBLIC ADMINISTRATION","Other/Prefer not to answer",PH.D.,124719.0000
"GOVERNMENT AND PUBLIC ADMINISTRATION","Other/Prefer not to answer","Some College",58250.0000
"GOVERNMENT AND PUBLIC ADMINISTRATION",Woman,"College Degree",73504.2107
"GOVERNMENT AND PUBLIC ADMINISTRATION",Woman,"High School",62318.2500
"GOVERNMENT AND PUBLIC ADMINISTRATION",Woman,"Master'S Degree",85352.6226
"GOVERNMENT AND PUBLIC ADMINISTRATION",Woman,PH.D.,100739.7885
"GOVERNMENT AND PUBLIC ADMINISTRATION",Woman,"Professional Degree (MD, Jd, Etc.)",103316.2182
"GOVERNMENT AND PUBLIC ADMINISTRATION",Woman,"Some College",60032.8475
"GOVERNMENT CONTRACT",Woman,"College Degree",42300.0000
"GOVERNMENT CONTRACTING",Woman,"College Degree",95500.0000
"GOVERNMENT CONTRACTING",Woman,"Master'S Degree",111000.0000
"GOVERNMENT CONTRACTING",Woman,"Some College",130800.0000
"GOVERNMENT CONTRACTING (DATA ANALYTICS AND PROGRAM EVALUATIONS)",Woman,"Master'S Degree",86000.0000
"GOVERNMENT CONTRACTING R&D",Woman,"College Degree",100000.0000
"GOVERNMENT CONTRACTOR",Woman,"College Degree",83221.0000
"GOVERNMENT CONTRACTOR",Woman,"Master'S Degree",84000.0000
"GOVERNMENT CONTRACTOR",Woman,"Some College",70000.0000
"GOVERNMENT CONTRACTOR (R&D)",Woman,"College Degree",55000.0000
"GOVERNMENT CONTRACTOR, INTERNATIONAL DEVELOPMENT",Woman,"Master'S Degree",135000.0000
"GOVERNMENT RELATION",Woman,"Master'S Degree",130000.0000
"GOVERNMENT RELATIONS",Woman,"College Degree",102500.0000
"GOVERNMENT RELATIONS",Woman,"Master'S Degree",68000.0000
"GOVERNMENT RELATIONS - LOBBYING",Woman,"College Degree",65000.0000
"GOVERNMENT RELATIONS/LOBBYING",Woman,"College Degree",59000.0000
"GOVERNMENT RESEARCH",Woman,"Master'S Degree",75400.0000
"GOVERNMENT- SCIENTIST",Woman,"Master'S Degree",100000.0000
"GOVT CONTRACTOR - NOT DIRECT GOVT BUT THEY PAY MY COMPANY WHO IN TURN PAYS ME",Woman,"College Degree",100000.0000
"GOVT CONTRACTOR - NOT DIRECTLY GOVT BUT THEY PAY ME",Woman,"College Degree",100000.0000
"GOVTECH SOFTWARE AS A SERVICE",Woman,"College Degree",60171.0000
